Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus	1301	17.95	479434	622380
Propionimicrobium	203133	15.9	482319	551300
Aerococcus	1375	14.91	458263	516975
Actinotignum	1653174	14.88	465530	515933
Escherichia	561	8.47	584291	293680
Imtechella	1165076	4.97	229277	172325
Varibaculum	184869	4.93	165407	170938
Allobacillus	1400133	4.59	172411	159148
Bifidobacterium	1678	3.29	117038	114074
Pauljensenia	2740557	2.2	63697	76281
Peptoniphilus_A	162289	1.3699999999999999	36381	47501
Prevotella	838	1.3	59696	45075
Lactobacillus	1578	1.28	33948	44381
Vaginimicrobium	2919589	0.72	21709	24965
Facklamia	66831	0.69	18309	23924
Actinobaculum	76833	0.43	12969	14909
Peptoniphilus_B	162289	0.32	9374	11095
Campylobacter_B	194	0.31	7620	10749
Porphyromonas_A	836	0.21	7187	7281
Finegoldia	150022	0.18	5076	6241
Trueperella	1069494	0.14	3953	4854
Porphyromonas	836	0.14	4680	4855
Falseniella	2862142	0.13	3175	4507
Corynebacterium	1716	0.13	5011	4508
Anaerococcus	165779	0.13	3881	4507
Urinicoccus	2024199	0.09000000000000001	2447	3120
Peptoniphilus_C	162289	0.07	1930	2427
Ezakiella	1582879	0.06999999999999999	1849	2427
Comamonas	283	0.04	3666	1387
Helcococcus	31983	0.03	599	1040
Staphylococcus	1279	0.02	862	693
Bradyrhizobium	374	0.02	1773	693
Gleimia	2692113	0.01	393	347
Mobiluncus	2050	0.01	357	347
Brevibacterium	1696	0.01	335	347
Cutibacterium	1912216	0.01	240	347
Lawsonella	1847725	0.01	148	347
Ralstonia	48736	0.01	815	347
Agrobacterium	357	0.01	647	347
Khoudiadiopia	2010182	0.01	264	347
Dialister	39948	0.01	120	347
Negativicoccus	909928	0.01	216	347
