Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Corynebacterium pseudogenitalium ATCC 33035	525264	833.49	19.319	5853
Corynebacterium tuberculostearicum SK141	553206	822.51	19.064	5006
Staphylococcus_u_t	1279	636.21	14.746	73
Staphylococcus epidermidis	1282	381.88	8.851	6
Corynebacterium jeikeium	38289	314.51	7.290000000000001	64
Staphylococcus haemolyticus R1P1	1134914	224.89	5.213	69
Prevotella bivia	28125	168.37	3.903	1216
Streptococcus agalactiae	1311	152.39	3.5319999999999996	10
Corynebacterium ihumii	1232427	148.88	3.451	3318
Acinetobacter baumannii	470	129.25	2.996	17
Propionibacteriaceae_u_t	31957	126.67	2.936	250
Actinomyces neuii BVS029A5	888439	98.18	2.276	2196
Acinetobacter_u_t	469	97.82	2.267	37
Finegoldia magna	1260	97	2.248	136
Staphylococcus aureus	1280	82.31	1.908	81
