Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE pre		-	546359.95	34.749	1	1	127695
Staphylococcus lentus GENE repC		-	382227.12	24.310000000000002	1	1	81153
Staphylococcus aureus GI 33390919		-	260924.11	16.595	0.914573	0.944805	26299
Staphylococcus lentus GENE tetK		-	173109.66	11.01	1	1	57212
Staphylococcus aureus GI 33390920		-	47954.51	3.05	1	1	4616
Staphylococcus aureus GENE dfrA		-	40372	2.568	0.815451	0.815451	5618
Staphylococcus lentus GI 60416745		-	36952.93	2.35	1	1	418
Staphylococcus aureus GENE thyA		-	23162.91	1.473	1	1	5890
Staphylococcus aureus GENE 1602 Branch		-	17983.82	1.1440000000000001	0.6	0.4	543
Staphylococcus epidermidis GeneID SEA1545		-	16138.02	1.026	1	1	1855
Enterococcus faecalis GENE mobB		-	7920.74	0.504	0.914634	0.914634	1274
Enterococcus faecalis GENE tetL		-	7511.31	0.47800000000000004	0.947917	0.957317	789
Enterococcus faecium GENE tetL		-	5355.9	0.34099999999999997	1	0.979058	224
Staphylococcus aureus GENE blaZ		-	3729.83	0.23700000000000002	0.492441	0.492441	551
Staphylococcus aureus GENE AACA-APHD		-	2614.11	0.166	0.422535	0.422535	326
