Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bacilli	91061	93.18	7865560	8026603
Bacteroidia	200643	3.68	402199	316999
Actinomycetia	1760	1.9200000000000006	159561	165388
Gammaproteobacteria	1236	0.5	100621	43071
Alphaproteobacteria	28211	0.24000000000000002	56572	20674
Clostridia	186801	0.22000000000000003	12657	18949
Coriobacteriia	84998	0.1	5596	8614
Myxococcia	28221	0.07	1994	6030
Deinococci	188787	0.04	4336	3445
Desulfovibrionia	28221	0.02	3383	1723
Negativicutes	909932	0.02	1108	1722
Campylobacteria	29547	0.01	499	861
