Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillaceae	33958	35.93	711752	882488
Enterococcaceae	81852	18.8	516153	461752
Flavobacteriaceae	49546	11.38	369622	279508
Alkalibacillaceae	186817	10.6	280248	260350
Peptoniphilaceae	1570339	10.169999999999998	196142	249788
Staphylococcaceae	90964	4.8100000000000005	118804	118140
Enterobacteriaceae	543	2.5500000000000003	121053	62631
Streptococcaceae	1300	1.5100000000000002	30369	37088
Aerococcaceae	186827	0.64	13259	15720
Mycobacteriaceae	1762	0.6	15274	14737
Actinomycetaceae	2049	0.56	12163	13755
Negativicoccaceae	31977	0.49	6535	12035
Porphyromonadaceae	171551	0.25	5645	6141
Bacteroidaceae	815	0.21	8372	5158
Campylobacteraceae	72294	0.19	3330	4667
Dermabacteraceae	85020	0.18	4136	4421
Ruminococcaceae	216572	0.15	5325	3685
Coriobacteriaceae	84107	0.15	3588	3684
Lachnospiraceae	186803	0.11	3798	2702
Burkholderiaceae_B	80864	0.11	7428	2702
Burkholderiaceae	119060	0.1	4982	2456
Micrococcaceae	1268	0.09000000000000001	2364	2210
Peptostreptococcaceae	186804	0.09	2078	2211
Xanthobacteraceae	335928	0.06	4753	1474
Acidaminococcaceae	909930	0.05	1348	1228
Eggerthellaceae	1643826	0.04	1394	982
Pseudomonadaceae	135621	0.03	1942	737
Atopobiaceae	1643824	0.03	388	737
Dialisteraceae	31977	0.03	343	737
Rhizobiaceae	82115	0.02	891	491
Beijerinckiaceae	45404	0.02	1394	491
Propionibacteriaceae	31957	0.02	617	491
Erysipelotrichaceae	128827	0.01	320	246
Akkermansiaceae	1647988	0.01	320	246
