ID	Name	Copies per Million (CPM)	Relative Abundance
PWY-7238	sucrose biosynthesis II	23172.6	2.3172600336002684
PWY-5941	glycogen degradation II	14733.5	1.4733500213635742
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	14097.2	1.4097200204409392
PWY-7111	pyruvate fermentation to isobutanol (engineered)	10294.5	1.0294500149270243
VALSYN-PWY	L-valine biosynthesis	10009.7	1.0009700145140645
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	9151.12	0.9151120132691235
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	8223.93	0.8223930119246982
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	8100.9	0.8100900117463046
PWY-7977	L-methionine biosynthesis IV	8084.08	0.8084080117219155
PWY-8178	pentose phosphate pathway (non-oxidative branch) II	7745.18	0.7745180112305106
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	7406.57	0.7406570107395261
PWY-5103	L-isoleucine biosynthesis III	7205.95	0.7205950104486272
CALVIN-PWY	Calvin-Benson-Bassham cycle	6729	0.6729000097570497
PWY-5136	fatty acid β-oxidation II (plant peroxisome)	6389.72	0.6389720092650937
PWY0-1477	ethanolamine utilization	6337.34	0.6337340091891426
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	6304.29	0.6304290091412201
PWY-3001	superpathway of L-isoleucine biosynthesis I	6278.5	0.6278500091038247
PENTOSE-P-PWY	pentose phosphate pathway	6266.95	0.6266950090870771
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	6242.71	0.6242710090519292
PWY-5695	inosine 5'-phosphate degradation	6073.9	0.6073900088071545
PWY-1042	glycolysis IV	6052.92	0.6052920087767336
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	6018.7	0.6018700087271146
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	6014.59	0.6014590087211552
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	5948.52	0.5948520086253537
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	5926.3	0.5926300085931346
THRESYN-PWY	superpathway of L-threonine biosynthesis	5905.63	0.5905630085631632
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	5780.91	0.5780910083823192
TRNA-CHARGING-PWY	tRNA charging	5772.81	0.5772810083705743
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	5739.2	0.5739200083218396
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	5738.65	0.5738650083210421
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	5606.92	0.5606920081300337
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	5599.96	0.5599960081199418
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	5565.1	0.5565100080693947
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	5554.02	0.5554020080533287
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	5541.28	0.5541280080348556
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	5503.96	0.5503960079807417
PWY-5484	glycolysis II (from fructose 6-phosphate)	5483.41	0.5483410079509442
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5428.74	0.5428740078716727
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	5428.74	0.5428740078716727
PWY-6901	superpathway of glucose and xylose degradation	5407.18	0.5407180078404107
P161-PWY	acetylene degradation (anaerobic)	5342.64	0.5342640077468277
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	5323.09	0.5323090077184802
PWY-2942	L-lysine biosynthesis III	5240.92	0.5240920075993337
PWY-5097	L-lysine biosynthesis VI	5193.8	0.5193800075310098
PWY-6608	guanosine nucleotides degradation III	5183.5	0.5183500075160747
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	5153.48	0.5153480074725457
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	5141.72	0.5141720074554937
PWY-7221	guanosine ribonucleotides de novo biosynthesis	5131.14	0.5131140074401528
PWY-5667	CDP-diacylglycerol biosynthesis I	5062.2	0.5062200073401897
PWY0-1319	CDP-diacylglycerol biosynthesis II	5062.2	0.5062200073401897
ANAEROFRUCAT-PWY	homolactic fermentation	5032.47	0.5032470072970813
PWY-621	sucrose degradation III (sucrose invertase)	4984.99	0.4984990072282352
PWY-5913	partial TCA cycle (obligate autotrophs)	4971.77	0.49717700720906627
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	4953.11	0.49531100718200916
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	4929.37	0.49293700714758626
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	4909.17	0.4909170071182962
DAPLYSINESYN-PWY	L-lysine biosynthesis I	4852.81	0.4852810070365743
PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	4828.61	0.48286100700148415
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	4809.16	0.48091600697328174
PWY-5686	UMP biosynthesis I	4775.07	0.4775070069238512
FERMENTATION-PWY	mixed acid fermentation	4774.81	0.4774810069234743
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	4729.36	0.47293600685757176
PWY-6151	S-adenosyl-L-methionine salvage I	4697.75	0.46977500681173723
PWY0-1479	tRNA processing	4679.49	0.46794900678526025
PWY-4041	γ-glutamyl cycle	4634.62	0.4634620067201987
GLUTORN-PWY	L-ornithine biosynthesis I	4590.06	0.4590060066555868
PWY-6936	seleno-amino acid biosynthesis (plants)	4589.15	0.45891500665426715
GALACTARDEG-PWY	D-galactarate degradation I	4554.81	0.45548100660447427
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	4554.81	0.45548100660447427
PWY-702	L-methionine biosynthesis II	4452.28	0.44522800645580574
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	4435.35	0.44353500643125726
GLUCONEO-PWY	gluconeogenesis I	4352.98	0.4352980063118207
FAO-PWY	fatty acid β-oxidation I (generic)	4323.5	0.43235000626907477
DTDPRHAMSYN-PWY	dTDP-β-L-rhamnose biosynthesis	4270.27	0.4270270061918913
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	4218.81	0.4218810061172743
PWY-8004	Entner-Doudoroff pathway I	4189.42	0.41894200607465876
PWY-6353	purine nucleotides degradation II (aerobic)	4174.21	0.4174210060526043
PWY-7560	methylerythritol phosphate pathway II	4157.96	0.4157960060290418
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	4081.13	0.4081130059176383
P441-PWY	superpathway of N-acetylneuraminate degradation	4071.38	0.4071380059035008
PWY-6317	D-galactose degradation I (Leloir pathway)	4067.27	0.4067270058975413
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	4040.96	0.40409600585939176
PWY-7345	superpathway of anaerobic sucrose degradation	4028.77	0.40287700584171626
PWY-622	starch biosynthesis	4007.03	0.4007030058101933
ORNDEG-PWY	superpathway of ornithine degradation	3996.86	0.39968600579544683
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	3969.63	0.3969630057559633
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)	3919.02	0.39190200568257877
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	3861.41	0.3861410055990443
ARO-PWY	chorismate biosynthesis I	3849.64	0.3849640055819778
PWY-5675	nitrate reduction V (assimilatory)	3845.57	0.3845570055760763
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	3827.66	0.38276600555010676
PWY-5100	pyruvate fermentation to acetate and lactate II	3827.66	0.38276600555010676
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	3825.54	0.3825540055470328
PWY-7790	UMP biosynthesis II	3798.4	0.3798400055076798
PWY-7791	UMP biosynthesis III	3798.4	0.3798400055076798
NONMEVIPP-PWY	methylerythritol phosphate pathway I	3784.07	0.3784070054869013
PWY-6609	adenine and adenosine salvage III	3748.77	0.37487700543571634
GLYOXYLATE-BYPASS	glyoxylate cycle	3728.3	0.37283000540603484
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	3701.26	0.3701260053668268
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	3701.26	0.3701260053668268
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	3698.45	0.3698450053627523
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	3697.81	0.3697810053618243
PWY0-1296	purine ribonucleosides degradation	3663.05	0.36630500531142235
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	3660.29	0.36602900530742033
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	3645.23	0.3645230052855833
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	3632.59	0.3632590052672553
PWY0-1261	anhydromuropeptides recycling I	3620.25	0.3620250052493623
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	3611.23	0.36112300523628327
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	3610.4	0.3610400052350798
PYRIDNUCSYN-PWY	NAD de novo biosynthesis I (from aspartate)	3597.78	0.3597780052167808
PWY-6527	stachyose degradation	3589.57	0.35895700520487633
PWY-5723	Rubisco shunt	3586.81	0.3586810052008743
GLUCARDEG-PWY	D-glucarate degradation I	3586.79	0.3586790052008453
1CMET2-PWY	folate transformations III (E. coli)	3572.85	0.3572850051806323
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	3539.43	0.3539430051321733
PWY-6305	superpathway of putrescine biosynthesis	3482.17	0.3482170050491463
HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	3465.45	0.3465450050249023
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	3435.08	0.3435080049808658
PWY66-429	fatty acid biosynthesis initiation (mitochondria)	3428.65	0.3428650049715423
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	3401.67	0.3401670049324213
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	3396.81	0.3396810049253743
PWY0-1061	superpathway of L-alanine biosynthesis	3332.34	0.3332340048318928
PWY-7663	gondoate biosynthesis (anaerobic)	3317.93	0.3317930048109983
PWY-6531	mannitol cycle	3295.72	0.3295720047787938
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	3293.32	0.3293320047753138
PWY-3841	folate transformations II (plants)	3286.03	0.32860300476474336
FUCCAT-PWY	fucose degradation	3276.34	0.3276340047506929
SO4ASSIM-PWY	assimilatory sulfate reduction I	3265.94	0.32659400473561284
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	3252.6	0.3252600047162698
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	3252.4	0.3252400047159798
PWY-6628	superpathway of L-phenylalanine biosynthesis	3252.38	0.3252380047159508
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	3242.4	0.32424000470147984
COLANSYN-PWY	colanic acid building blocks biosynthesis	3236.79	0.3236790046933453
PWY-6606	guanosine nucleotides degradation II	3221.47	0.3221470046711313
PWY-7118	chitin deacetylation	3218.18	0.3218180046663608
GALACTITOLCAT-PWY	galactitol degradation	3199.89	0.3199890046398403
PWY-6731	starch degradation III	3171.41	0.31714100459854433
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	3131.19	0.31311900454022534
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	3128.94	0.3128940045369628
CITRULBIO-PWY	L-citrulline biosynthesis	3125.53	0.31255300453201834
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	3102.09	0.31020900449803035
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	3066.85	0.3066850044469323
PWY-6630	superpathway of L-tyrosine biosynthesis	3049.65	0.3049650044219923
PWY-6123	inosine-5'-phosphate biosynthesis I	3045.37	0.3045370044157863
PWY-6803	phosphatidylcholine acyl editing	3043.99	0.3043990044137853
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	3025.57	0.30255700438707633
PWY-6270	isoprene biosynthesis I	3015.9	0.30159000437305483
GLYCOCAT-PWY	glycogen degradation I	2985.72	0.2985720043292938
