Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Klebsiella pneumoniae GENE tnpA		-	30499.76	18.329	1	1	3726
Bacteroides fragilis GENE tetQ		-	17346.99	10.424999999999999	0.95493	0.95493	5378
Parabacteroides distasonis GI 32395281		-	13287.61	7.985	1	1	243
Enterococcus faecalis GI 48190		-	12100.25	7.272	0.873217	0.873217	3105
Bacteroides vulgatus GI 33413459		-	11308.91	6.796	1	1	597
Parabacteroides distasonis GI 32395282		-	9957.71	5.984	0.73913	0.73913	582
Bacteroides fragilis GENE rteA		-	8062.39	4.845	0.754171	0.754171	2360
Bacteroides fragilis GI 46242799		-	5931.39	3.5639999999999996	0.858824	0.858824	342
Bacteroides fragilis GI 46242808		-	5667.8	3.406	0.911111	0.911111	242
Enterococcus faecalis GENE mobB		-	5550.82	3.3360000000000003	0.766551	0.766551	718
Bacteroides fragilis GENE mobA		-	4910.79	2.951	0.765101	0.765101	251
Proteus mirabilis GENE tnpA		-	4660.39	2.801	1	1	53
Bacteroides fragilis GENE int		-	4575.59	2.75	0.741379	0.741379	333
Bacteroides fragilis GENE rteC		-	4512.07	2.7119999999999997	0.704082	0.704082	277
Enterococcus faecium GENE sat4		-	4144.02	2.4899999999999998	0.757576	0.757576	168
Enterococcus faecalis GENE repB		-	4101.32	2.465	0.601093	0.601093	418
Staphylococcus aureus GI 33390919		-	3941.98	2.3689999999999998	0.527638	0.561688	427
Enterococcus faecium GENE ermB		-	3728.62	2.241	0.54416	0.54416	391
Staphylococcus lentus GENE ermC		-	3179.48	1.9109999999999998	0.537538	0.537538	249
Bacteroides fragilis GI 46242807		-	3149.57	1.8929999999999998	0.466531	0.466531	416
Vibrio cholerae GENE intI1		-	2217.8	1.333	0.846154	0.846154	11
Bacteroides fragilis GI 46242810		-	1799.43	1.081	0.430108	0.430108	51
Klebsiella pneumoniae GENE orf6		-	1767.31	1.0619999999999998	0.459016	0.459016	37
