Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StauST398-5	1308897	26464.2	16.642000000000003	0.954902	0.966028	6241
Staphylococcus phage Ipla5	1197952	25239.92	15.872	0.144732	0.273106	108027
Staphylococcus phage PH15	399185	22158.36	13.934	0.118475	0.288274	84333
Staphylococcus phage StauST398-4	1308896	21562.55	13.56	0.97957	0.936147	18543
Staphylococcus phage Ipla7	1197953	19454.5	12.234	0.114879	0.280726	54242
Staphylococcus phage CNPH82	398839	12578.63	7.91	0.071141	0.229895	44737
Staphylococcus phage TEM123	1168613	8837.9	5.558	0.022047	0.472993	372
Staphylococcus phage 96	320842	4607.97	2.8979999999999997	0.046784	0.356356	316
Staphylococcus phage StB20	1147043	4592.12	2.888	0.031634	0.065628	21986
Staphylococcus phage tp310-3	445517	4537.59	2.8529999999999998	0.183626	0.274432	831
Staphylococcus phage tp310-2	445516	2321.81	1.46	0.15917	0.104826	7238
Staphylococcus phage phiPVL-CN125	648017	1793.44	1.1280000000000001	0.019692	0.155837	77
Staphylococcus phage StB27	1147044	1706.31	1.073	0.076142	0.076889	14873
Staphylococcus phage Pvl108	360398	854.05	0.5369999999999999	0.066794	0.331685	586
Staphylococcus phage 42E	320837	816.01	0.513	0.093511	0.057986	2798
Staphylococcus phage StB12	1147042	460.78	0.29	0.034092	0.039	3908
Staphylococcus phage phi2958PVL	430796	454.6	0.28600000000000003	0.222839	0.05668	588
Sextaecvirus	1922243	338.49	0.213	0.025912	0.025912	543
Pa6virus	1982251	144.48	0.091	0.03183	0.03183	12
Human papillomavirus type 154	1195796	95.25	0.06	0.02074	0.02074	79
