Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	528817.65	30.119	0.834171	0.892857	53692
Staphylococcus aureus GI 33390920		-	304533.46	17.345	1	1	26473
Staphylococcus aureus GENE thyA		-	215266.77	12.261	1	1	56683
Staphylococcus aureus GENE dfrA		-	213688.68	12.171	0.819742	0.819742	27342
Staphylococcus epidermidis GeneID SEA1545		-	127263.58	7.248	1	1	16030
Staphylococcus aureus GENE 1602 Branch		-	110297.52	6.282	0.644444	0.507143	1720
Staphylococcus aureus GENE blaZ		-	80863.15	4.606	0.818575	0.818575	20247
Staphylococcus aureus GENE blaI		-	76766.07	4.372	0.846561	0.846561	8712
Staphylococcus aureus GENE blaR1		-	55483.79	3.16	0.573348	0.573348	25935
Staphylococcus lentus GENE repC		-	34798.74	1.982	0.408353	0.408353	8927
Vibrio cholerae GENE intI1		-	2788.09	0.159	1	1	13
Staphylococcus lentus GENE ermC		-	2112.25	0.12	0.405405	0.405405	144
Staphylococcus aureus GI 33390939		-	2048.82	0.117	0.428571	0.428571	53
Staphylococcus lentus GI 60416748		-	1007.45	0.056999999999999995	0.5	0.5	6
