Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bacilli	91061	63.910000000000004	2403236	2568005
Clostridia	186801	16.209999999999994	568063	651339
Actinomycetia	1760	15.309999999999997	669342	615179
Alphaproteobacteria	28211	1.6500000000000004	256781	66300
Campylobacteria	29547	1.65	52212	66299
Bacteroidia	200643	0.67	39300	26922
Negativicutes	909932	0.37	9019	14867
Gammaproteobacteria	1236	0.16	19028	6428
Coriobacteriia	84998	0.03	803	1205
Peptococcia	186801	0.01	371	402
