Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage phiN315	225979	18142.8	17.156	0.810465	0.906504	5380
Staphylococcus phage Ipla7	1197953	17952.4	16.976	0.19256	0.414092	53314
Staphylococcus phage CNPH82	398839	16448.8	15.554000000000002	0.206782	0.416316	47546
Staphylococcus phage Ipla5	1197952	14492.88	13.705	0.156135	0.378085	52777
Staphylococcus phage PH15	399185	8526.49	8.062999999999999	0.117493	0.312046	29873
Staphylococcus phage tp310-3	445517	6230.25	5.891	0.42807	0.366716	2538
Staphylococcus phage phiPVL-CN125	648017	3848.78	3.639	0.063356	0.244217	375
Staphylococcus phage TEM123	1168613	3259.81	3.083	0.025197	0.245194	270
Staphylococcus phage PT1028	320831	2708.07	2.561	0.142793	0.142793	9637
Staphylococcus phage tp310-2	445516	1298.92	1.228	0.176407	0.080242	5063
Staphylococcus phage phiBU01	1519999	1216.54	1.15	0.028571	0.759482	46
Staphylococcus phage StauST398-5	1308897	1147.59	1.085	0.270588	0.0941	1633
Staphylococcus phage phi2958PVL	430796	1147.36	1.085	0.404441	0.092615	2278
Staphylococcus phage 96	320842	1046.69	0.9900000000000001	0.019139	0.185194	53
Staphylococcus phage phiETA3	326037	1002.41	0.9480000000000001	0.020374	0.182848	103
Staphylococcus phage 55	320845	803.7	0.76	0.015795	0.071175	72
Human immunodeficiency virus 1	11676	732.89	0.6930000000000001	0.052696	0.052696	726
Staphylococcus phage 42E	320837	674.62	0.638	0.077562	0.070814	1018
Staphylococcus phage phiMR25	487152	673.78	0.637	0.010981	0.086602	111
Staphylococcus phage StB20	1147043	642.26	0.607	0.047167	0.052076	3971
Staphylococcus phage 69	320834	624.52	0.5910000000000001	0.021692	0.078382	150
Staphylococcus phage Pvl108	360398	602.07	0.569	0.041985	0.276396	140
Staphylococcus phage P954	668618	476.34	0.44999999999999996	0.032459	0.581188	99
unclassified Siphoviridae	196894	303.96	0.28700000000000003	0.025378	0.059388	52
Staphylococcus phage StB12	1147042	261.72	0.247	0.029439	0.031273	1469
Human papillomavirus type 50	40539	235.96	0.22300000000000003	0.039138	0.039138	244
Propionibacterium phage P100D	1229789	212.15	0.201	0.010063	0.032714	74
Equine infectious anemia virus	11665	204.77	0.194	0.017366	0.017366	513
Staphylococcus phage YMC/09/04/R1988	1399949	199.26	0.188	0.016073	0.032943	46
Streptococcus phage IC1	1448276	150.08	0.14200000000000002	0.010792	0.027178	150
Streptococcus phage 20617	1392231	135.61	0.128	0.020922	0.01986	576
Lactobacillus phage phiAT3	279281	108.08	0.10200000000000001	0.014609	0.014108	563
Staphylococcus phage StB27	1147044	74.77	0.07100000000000001	0.010408	0.014389	421
Staphylococcus phage phiNM3	387909	63.91	0.06	0.012452	0.710983	39
Pa6virus	1982251	53.62	0.051000000000000004	0.015915	0.015915	8
Human papillomavirus type 134	909333	47.8	0.045	0.011861	0.011861	45
