Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human papillomavirus type 50	40539	32170.65	36.417	0.69057	0.69057	52812
Staphylococcus phage Ipla7	1197953	14088.5	15.948	0.176028	0.297185	46232
Staphylococcus phage StB20	1147043	10623.66	12.026	0.244806	0.240512	92176
Staphylococcus phage Ipla5	1197952	7421.12	8.401	0.123721	0.215532	29544
Staphylococcus phage PH15	399185	7420.44	8.4	0.113402	0.223761	31534
Staphylococcus phage CNPH82	398839	6816.82	7.7170000000000005	0.103139	0.237993	23816
Merkel cell polyomavirus	493803	5297.32	5.9959999999999996	0.591118	0.588943	2810
Human polyomavirus 6	746830	1632.28	1.848	0.225671	0.225671	795
Propionibacterium phage P105	1229788	608.13	0.688	0.025919	0.084296	129
Propionibacterium phage PHL113M01	1235655	567.48	0.642	0.036953	0.084171	164
Propionibacterium phage PHL060L00	1235647	349.9	0.396	0.020245	0.052356	119
Human papillomavirus type 5	333923	320.22	0.362	0.034501	0.034501	561
Propionibacterium phage P100_1	1229791	253.01	0.28600000000000003	0.016667	0.039158	94
Propionibacterium phage P100D	1229789	225.49	0.255	0.014686	0.038958	69
Propionibacterium phage P9.1	1229782	221.29	0.25	0.011547	0.037736	52
Siphoviridae	10699	98.26	0.11100000000000002	0.036036	0.036036	8
Staphylococcus phage StB27	1147044	96.38	0.109	0.012649	0.013141	486
Staphylococcus phage ROSA	320843	83.49	0.095	0.014624	0.013305	85
Human immunodeficiency virus 1	11676	46.27	0.052	0.011642	0.011642	37
