Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	56.88000000000002	1271533	1397048
Flavobacteriales	200644	11.38	369622	279508
Bacillales_D	1385	10.6	280248	260350
Tissierellales	1737405	10.169999999999998	196142	249788
Staphylococcales	1385	4.8100000000000005	118804	118140
Enterobacterales	91347	2.5500000000000003	121053	62631
Actinomycetales	2037	0.8300000000000001	18663	20386
Mycobacteriales	85010	0.6	15274	14737
Veillonellales	1843489	0.52	6878	12772
Bacteroidales	171549	0.45999999999999996	14017	11299
Coriobacteriales	84999	0.22	5370	5403
Burkholderiales	80840	0.21000000000000002	12410	5158
Campylobacterales	213849	0.19	3330	4667
Oscillospirales	186802	0.15	5325	3685
Lachnospirales	186802	0.11	3798	2702
Rhizobiales	356	0.1	7038	2456
Peptostreptococcales	186802	0.09	2078	2211
Acidaminococcales	1843488	0.05	1348	1228
Pseudomonadales	72274	0.03	1942	737
Propionibacteriales	85009	0.02	617	491
Erysipelotrichales	526525	0.01	320	246
Verrucomicrobiales	48461	0.01	320	246
