Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE repC		-	3517833.22	32.967	1	1	631484
Staphylococcus lentus GENE tetK		-	3033112.34	28.424	1	1	821562
Staphylococcus lentus GENE pre		-	2320373.11	21.745	1	1	486372
Staphylococcus lentus GI 60416745		-	1050793.21	9.847	1	1	8212
Staphylococcus aureus GI 33390919		-	411432.21	3.856	1	1	41134
Staphylococcus aureus GI 33390920		-	92914.8	0.8710000000000001	1	1	8769
Staphylococcus aureus GENE dfrA		-	78781.99	0.738	1	1	10590
Staphylococcus aureus GENE thyA		-	58438.17	0.5479999999999999	1	1	16084
Staphylococcus epidermidis GeneID SEA1545		-	45857.45	0.43	1	1	5950
Staphylococcus lentus GENE repL		-	17145.18	0.161	1	1	1959
Staphylococcus lentus GENE ermC		-	8928.14	0.084	1	1	1002
Staphylococcus aureus GENE blaZ		-	6782.18	0.064	0.593952	0.593952	1347
Staphylococcus aureus GENE qacC		-	4358.05	0.041	0.808219	0.808219	157
Proteus mirabilis GENE sul1		-	4412.8	0.041	0.893939	0.893939	94
Escherichia coli GENE qacEdelta1		-	4176.17	0.039	1	1	50
Staphylococcus aureus GI 33390947		-	4051.15	0.038	0.870968	0.870968	60
Parabacteroides distasonis GI 32395282		-	4016.68	0.038	0.597826	0.597826	181
Staphylococcus lentus GI 60416748		-	2282.53	0.021	0.5	0.5	29
Bacteroides fragilis GENE mobA		-	2071.42	0.019	0.436242	0.436242	86
Pseudomonas aeruginosa GENE intI1		-	1721.01	0.016	0.5	0.5	25
Enterococcus faecium GI 21886747		-	1342.42	0.013	0.481481	0.481481	13
