Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00872	Transposase, Mutator family	74212.6	7.421259760144899
PF00005	ABC transporter	24203	2.4202999217759107
PF01609	Transposase DDE domain	21826.7	2.182669929456112
PF13612	Transposase DDE domain	12083.6	1.2083599609458084
PF03217	Surface later protein A domain	10125.5	1.012549967274387
PF00665	Integrase core domain	9833.59	0.9833589682178401
PF01381	Helix-turn-helix	8922.05	0.8922049711639368
PF07282	Putative transposase DNA-binding domain	7652.48	0.7652479752671869
PF01385	Probable transposase	7545.26	0.7545259756137219
PF00664	ABC transporter transmembrane region	7405.7	0.7405699760647797
PF00528	Binding-protein-dependent transport system inner membrane component	7032.98	0.7032979772694107
PF07690	Major Facilitator Superfamily	6891.29	0.6891289777273527
PF13936	Helix-turn-helix domain	6848.36	0.6848359778661025
PF05598	Transposase domain (DUF772)	6332.35	0.6332349795338467
PF01548	Transposase	6111.48	0.6111479802476983
PF02371	Transposase IS116/IS110/IS902 family	5743.24	0.5743239814378499
PF12323	Helix-turn-helix domain	5605.76	0.5605759818821854
PF13520	Amino acid permease	5440.77	0.544076982415433
PF00746	LPXTG cell wall anchor motif	5131.43	0.5131429834152198
PF00271	Helicase conserved C-terminal domain	4964.34	0.49643398395525457
PF00239	Resolvase, N terminal domain	4890.11	0.48901098419516587
PF13751	Transposase DDE domain	4819.9	0.48198998442208457
PF13614	AAA domain	4712.79	0.471278984768264
PF04221	RelB antitoxin	4702.67	0.47026698480097195
PF13411	MerR HTH family regulatory protein	4319.63	0.43196298603895716
PF06782	Uncharacterised protein family (UPF0236)	4175.2	0.41751998650575484
PF02378	Phosphotransferase system, EIIC	3971.32	0.3971319871646949
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	3494.14	0.3494139887069405
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	3373.64	0.3373639890963965
PF01380	SIS domain	3347.01	0.3347009891824647
PF00072	Response regulator receiver domain	3275.58	0.32755798941332637
PF00589	Phage integrase family	3251.62	0.3251619894907651
PF13276	HTH-like domain	3179.32	0.3179319897244387
PF00300	Histidine phosphatase superfamily (branch 1)	3080.61	0.30806099004346943
