Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus epidermidis	1282	10760.85	29.944	143
Corynebacterium sp. KPL1856	1203563	8309.16	23.122	42
Actinomyces neuii	33007	3972.93	11.055	71276
Staphylococcus capitis	29388	3560.56	9.908	2884
Finegoldia magna	1260	2094.31	5.827999999999999	22924
Anaerococcus senegalensis	1288120	1324.33	3.685	11612
Propionibacteriaceae_u_s	31957	1026.29	2.856	45
Staphylococcus lugdunensis	28035	959.36	2.67	119
Corynebacterium pseudogenitalium	38303	600.87	1.672	1220
Peptoniphilus harei	54005	535.81	1.4909999999999999	4988
Cutibacterium avidum	33010	525.85	1.463	318
Micrococcus luteus	1270	340.27	0.947	475
Staphylococcus aureus	1280	265.48	0.739	8
Staphylococcus sp. TE8	1472720	202.23	0.563	384
Peptoniphilus_u_s	162289	183.32	0.51	101
Corynebacterium kroppenstedtii	161879	142.82	0.39699999999999996	3492
Anaerococcus hydrogenalis	33029	138.49	0.385	914
Peptostreptococcus anaerobius	1261	127.85	0.356	346
Streptococcus_u_s	1301	122.54	0.34099999999999997	13
Acinetobacter_u_s	469	107.68	0.3	8
Solobacterium moorei	102148	106.58	0.297	652
Anaerococcus_u_s	165779	100.62	0.27999999999999997	319
Acinetobacter baumannii	470	99.68	0.27699999999999997	14
Staphylococcus_u_s	1279	88.35	0.246	170
Peptoniphilus rhinitidis	1175452	82.43	0.22899999999999998	813
Haemophilus parainfluenzae	729	82.07	0.22799999999999998	151
Rothia dentocariosa	2047	76.1	0.212	630
