Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus aureus	1280	4475.89	31.718000000000004	2699
Corynebacterium sp. KPL1856	1203563	3587.2	25.421	14
Corynebacterium pseudogenitalium	38303	1994.96	14.137	13026
Corynebacterium tuberculostearicum	38304	1938.96	13.74	10235
Staphylococcus caprae	29380	556.38	3.943	9370
Staphylococcus epidermidis	1282	440.24	3.1199999999999997	127
Staphylococcus_u_s	1279	315.4	2.235	33
Corynebacterium striatum	43770	243.02	1.722	6447
Actinomyces neuii	33007	110.9	0.786	33
Finegoldia magna	1260	108.66	0.77	46
Prevotella bivia	28125	94.73	0.6709999999999999	616
Staphylococcus capitis	29388	84.32	0.598	34
Propionibacteriaceae_u_s	31957	82.35	0.584	152
Corynebacterium jeikeium	38289	78.4	0.5559999999999999	21
