Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcaceae	1300	25.35	884771	1067436
Bacteroidaceae	815	18.77	1030944	790367
Peptoniphilaceae	1570339	12.93	468199	544453
Bifidobacteriaceae	31953	12.240000000000002	537495	515401
Actinomycetaceae	2049	9.93	397105	418134
Mycobacteriaceae	1762	6.48	311165	272859
Propionibacteriaceae	31957	5.489999999999999	218151	231172
Atopobiaceae	1643824	1.7900000000000003	51786	75373
Porphyromonadaceae	171551	1.7100000000000002	73965	72003
Flavobacteriaceae	49546	0.74	44502	31160
Alkalibacillaceae	186817	0.7100000000000001	34468	29896
Brevibacteriaceae	85019	0.71	31459	29897
Aerococcaceae	186827	0.61	22132	25687
Campylobacteraceae	72294	0.53	17149	22317
Peptostreptococcaceae	186804	0.45999999999999996	18762	19370
Dialisteraceae	31977	0.44	10573	18527
Dethiosulfovibrionaceae	649777	0.33	11483	13896
Staphylococcaceae	90964	0.19	8216	8000
Dermabacteraceae	85020	0.18	7673	7579
Veillonellaceae	31977	0.14	5441	5895
Xanthobacteraceae	335928	0.11	16975	4631
Negativicoccaceae	31977	0.06	1499	2526
Eggerthellaceae	1643826	0.04	1413	1684
Peptococcaceae	186807	0.04	1632	1684
Desulfovibrionaceae	194924	0.03	2913	1263
Megasphaeraceae	31977	0.01	395	421
Fusobacteriaceae	203492	0.01	526	421
