Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium	1912216	826010.24	43.48	530175
Propionibacterium	1743	753733.47	39.675999999999995	83168
Staphylococcus	1279	251063.3	13.215000000000002	61128
Peptoniphilus	162289	24833.71	1.3069999999999997	450599
Corynebacterium	1716	21104.42	1.1099999999999999	105602
Micrococcus	1269	6397.81	0.337	8736
Anaerococcus	165779	3684.69	0.194	74605
Clostridioides	1870884	2039.22	0.107	4066
Streptococcus	1301	1819.4100000000003	0.096	1935
Negativicoccus	909928	1470.22	0.077	7997
Porphyromonas	836	1379.79	0.07300000000000001	14781
Finegoldia	150022	1094.93	0.058	9989
Tissierellia_u_g	1737404	782.94	0.041	6073
Lactobacillus	1578	717.71	0.037	600
Rothia	32207	473.75	0.025	4737
Campylobacter	194	429.74	0.023	1552
Dermabacter	36739	373.55999999999995	0.019	4984
Acidipropionibacterium	1912215	232.10000000000002	0.012	4451
Pseudomonas	286	225.81	0.012	114
Jonquetella	428711	226.27	0.012	80
Kocuria	57493	173.84	0.009000000000000001	3673
Propionimicrobium	203133	139.1	0.006999999999999999	1214
Brevibacterium	1696	141.85	0.006999999999999999	3427
Actinotignum	1653174	133.97	0.006999999999999999	255
Enterococcus	1350	137.95	0.006999999999999999	11
Mobiluncus	2050	106.55	0.006	16
Dietzia	37914	91.75	0.005	24
Brachybacterium	43668	98.09	0.005	2104
Scardovia	196081	89.3	0.005	1425
Facklamia	66831	97.7	0.005	519
Christensenella	990721	88.67	0.005	287
Nesterenkonia	57494	82.45	0.004	2038
Aerococcus	1375	77.05	0.004	121
Veillonella	29465	76.86	0.004	11
Proteus	583	80.07	0.004	6
