Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus epidermidis IS-K	904791	6241.49	39.159	6
Propionibacterium acnes HL087PA2	765082	3227.75	20.251	28
Propionibacterium sp. 5_U_42AFAA_u_t	450748	3221.16	20.21	136
Cutibacterium granulosum DSM 20700	1160719	506.78	3.18	911
Brevibacterium casei S18	1229781	399.98	2.5090000000000003	9067
Staphylococcus_u_t	1279	329.51	2.067	932
Peptoniphilus rhinitidis 1-13	875454	300.14	1.883	2713
Rothia mucilaginosa	43675	194.79	1.222	876
Enhydrobacter aerosaccus SK60	553217	184.83	1.16	1889
Propionibacteriaceae_u_t	31957	150.44	0.9440000000000001	46
Klebsiella_u_t	570	143.94	0.903	396
Anaerococcus hydrogenalis ACS-025-V-Sch4	879306	141.94	0.8909999999999999	700
Kocuria rhizophila P7-4	1029824	138.74	0.8699999999999999	1949
Staphylococcus warneri	1292	117.75	0.739	993
Micrococcus luteus	1270	106.3	0.6669999999999999	34
Staphylococcus capitis	29388	101.69	0.638	363
Finegoldia magna	1260	95.54	0.599	209
Kocuria_u_t	57493	88.79	0.557	17
Staphylococcus hominis	1290	85.85	0.539	243
Rothia dentocariosa	2047	82.73	0.519	637
Staphylococcus aureus	1280	78.5	0.49300000000000005	26
