Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus capitis	29388	17627.26	69.814	11834
Staphylococcus epidermidis	1282	1973.44	7.815999999999999	148
Micrococcus luteus	1270	1949.21	7.720000000000001	1546
Staphylococcus lugdunensis	28035	1420.62	5.6259999999999994	157
Staphylococcus aureus	1280	594.21	2.3529999999999998	467
Corynebacterium tuberculostearicum	38304	416.32	1.649	1982
Corynebacterium pseudogenitalium	38303	406.15	1.609	2201
Aerococcus viridans	1377	185.97	0.737	1891
Staphylococcus_u_s	1279	179.01	0.709	407
Acinetobacter_u_s	469	164.16	0.65	8
Pseudomonas sp. 1-7	633150	145	0.5740000000000001	2749
Propionibacteriaceae_u_s	31957	105.84	0.41900000000000004	215
Aeromonas_u_s	642	81.69	0.32399999999999995	16
