Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	34.96	993129	1212167
Actinomycetales	2037	25.900000000000002	829679	898030
Propionibacteriales	85009	16.630000000000003	504268	576612
Enterobacterales	91347	8.47	584291	293680
Flavobacteriales	200644	4.97	229277	172325
Bacillales_D	1385	4.59	172411	159148
Tissierellales	1737405	2.2699999999999996	61801	78705
Bacteroidales	171549	1.6500000000000001	71563	57211
Campylobacterales	213849	0.31	7620	10749
Mycobacteriales	85010	0.14	5159	4855
Burkholderiales	80840	0.05	4481	1734
Rhizobiales	356	0.03	2420	1040
Staphylococcales	1385	0.02	862	693
Veillonellales	1843489	0.02	336	694
