Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
JC polyomavirus	10632	GCF_000863805.1	Viruses	21.45	0.759569	0.758317	9183	343511
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	18.43	0.999761	0.999761	471937	295148
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	16.3	0.661664	0.659827	339365	261037
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	13.059999999999999	0.808898	0.457119	219952	209150
s__Prevotella disiens GCA_000613345.1	1235811	GCA_000613345.1	Bacteria	5.02	0.683073	0.693159	111832	80393
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	Bacteria	2.72	0.61567	0.616764	40883	43559
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	2.66	0.750254	0.743298	50038	42599
s__Brevibacterium ravenspurgense GCA_001807555.1	1581140	GCA_001807555.1	Bacteria	2.23	0.551219	0.251066	41800	35712
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	Bacteria	1.73	0.557784	0.438385	27990	27705
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	Bacteria	1.51	0.62661	0.626554	21133	24182
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	Bacteria	1.09	0.358539	0.312727	18698	17456
s__Corynebacterium riegelii GCA_001806945.1	1581072	GCA_001806945.1	Bacteria	0.97	0.334457	0.319715	20112	15534
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.75	0.419963	0.382265	11176	12011
s__Vaginimicrobium propionicum GCA_900155645.1	1871034	GCA_900155645.1	Bacteria	0.7	0.32502	0.324565	11764	11210
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.52	0.178819	0.139804	8668	8328
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.5	0.220116	0.15159	8449	8007
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.49	0.05217	0.014788	10325	7847
s__Porphyromonas sp001552775 GCA_001552775.1	1497953	GCA_001552775.1	Bacteria	0.48	0.322446	0.322446	7302	7687
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	0.45000000000000007	0.148043	0.148113	8268	7207
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	Bacteria	0.43	0.417435	0.436752	7484	6886
s__Gleimia urinae GCA_900119695.1	1689268	GCA_900119695.1	Bacteria	0.38	0.128991	0.110605	6081	6086
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	Bacteria	0.36	0.299618	0.286706	6000	5765
s__Ezakiella peruensis GCA_900215725.1	1464038	GCA_900215725.1	Bacteria	0.34	0.179416	0.178917	4704	5445
s__Corynebacterium imitans GCA_000739455.1	156978	GCA_000739455.1	Bacteria	0.33	0.124881	0.123416	7074	5285
s__Prevotella ihumii GCA_900155655.1	1917878	GCA_900155655.1	Bacteria	0.33	0.020189	0.007446	8957	5285
s__Facklamia hominis GCA_000413455.1	883110	GCA_000413455.1	Bacteria	0.32	0.301346	0.152873	4901	5125
s__Corynebacterium sp001806875 GCA_001806875.1	1581069	GCA_001806875.1	Bacteria	0.3	0.147454	0.109172	5971	4804
s__Fenollaria massiliensis GCA_001811395.1	1739304	GCA_001811395.1	Bacteria	0.29	0.238344	0.135229	3803	4644
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	Bacteria	0.27	0.360094	0.353874	4411	4324
s__Lawsonella clevelandensis GCA_001281505.1	1528099	GCA_001281505.1	Bacteria	0.25	0.100075	0.125969	3971	4004
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	Bacteria	0.24	0.164096	0.107263	4660	3843
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.22999999999999998	0.138698	0.10125	5576	3683
s__Anaerococcus lactolyticus GCA_000156575.1	525254	GCA_000156575.1	Bacteria	0.22999999999999998	0.042621	0.032326	3886	3683
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	Bacteria	0.19	0.164504	0.108583	3561	3043
s__Faecalimonas phoceensis GCA_000431655.1	1263069	GCA_000431655.1	Bacteria	0.19	0.181279	0.181391	3952	3043
s__Prevotella bergensis GCA_000160535.1	585502	GCA_000160535.1	Bacteria	0.18	0.134348	0.132456	4888	2883
s__Finegoldia magna_H GCA_000582635.1	1459804	GCA_000582635.1	Bacteria	0.18	0.151942	0.067152	2842	2883
s__Trueperella bernardiae GCA_001808465.1	1581142	GCA_001808465.1	Bacteria	0.17	0.099906	0.032619	2680	2722
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	Bacteria	0.17	0.10929	0.062148	2855	2722
s__Corynebacterium sp001815985 GCA_001815965.1	1581056	GCA_001815965.1	Bacteria	0.16	0.097895	0.054475	3000	2562
s__Corynebacterium mucifaciens GCA_000747315.1	401472	GCA_000747315.1	Bacteria	0.16	0.006644	0.005757	2981	2562
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	0.16	0.07693	0.052455	4335	2562
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	Bacteria	0.15	0.077771	0.053142	2753	2402
s__Pseudoglutamicibacter cumminsii_A GCA_003143995.1	156979	GCA_003143995.1	Bacteria	0.15	0.073818	0.071646	2633	2402
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	0.15	0.062408	0.027757	3984	2402
s__Peptoniphilus_C pacaensis GCA_900088125.1	1776390	GCA_900088125.1	Bacteria	0.15	0.084311	0.081478	2276	2402
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	Bacteria	0.14	0.189287	0.121776	1859	2242
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	Bacteria	0.13	0.118922	0.10766	1316	2082
s__Gleimia europaea_B GCA_000411155.1	883069	GCA_000411155.1	Bacteria	0.12	0.089844	0.07092	1837	1922
s__Staphylococcus simulans GCA_001838075.1	1715200	GCA_001838075.1	Bacteria	0.12	0.114437	0.070812	2635	1922
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.12	0.165788	0.080984	1711	1922
s__Campylobacter_B ureolyticus_A GCA_000413435.1	883165	GCA_000413435.1	Bacteria	0.11	0.139734	0.075092	1549	1762
s__Peptoniphilus_A grossensis GCA_000311825.1	1118057	GCA_000311825.1	Bacteria	0.11	0.109515	0.071892	1859	1762
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	Bacteria	0.1	0.082085	0.031858	2369	1601
s__Peptoniphilus_A vaginalis GCA_001553125.1	1477000	GCA_001553125.1	Bacteria	0.1	0.094293	0.023385	1445	1601
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	0.1	0.066491	0.066033	1441	1601
