Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Clostridia	186801	47.460000000000015	666634	605591
Bacilli	91061	23.720000000000002	236335	302664
Actinomycetia	1760	10.499999999999996	120831	133979
Coriobacteriia	84998	6.989999999999998	81394	89192
Bacteroidia	200643	5.18	95707	66097
Methanobacteria	183925	3.58	32329	45681
Gammaproteobacteria	1236	0.8200000000000002	17581	10462
Negativicutes	909932	0.78	7377	9952
Verrucomicrobiae	203494	0.53	8482	6763
Alphaproteobacteria	28211	0.2	5799	2551
Desulfovibrionia	28221	0.12	2150	1531
Peptococcia	186801	0.06	623	766
Synergistia	649775	0.04	750	510
