Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
3.6.4.12	DNA helicase	19953.4	1.9953398752713045
2.7.13.3	Histidine kinase	14919	1.4918999067413368
2.7.7.7	DNA-directed DNA polymerase	14290.8	1.4290799106682148
2.7.7.6	DNA-directed RNA polymerase	9048.53	0.9048529434376427
3.6.3.30	Transferred entry 7.2.2.7	8499.3	0.8499299468708791
2.7.1.69	2.7.1.208	8410.17	0.8410169474280307
3.2.1.23	Beta-galactosidase	7950.29	0.7950289503027403
5.99.1.3	Transferred entry 5.6.2.2	7814.92	0.7814919511489382
3.2.1.21	Beta-glucosidase	7651.56	0.7651559521701016
3.1.1.61	Protein-glutamate methylesterase	7473.11	0.7473109532855923
3.2.1.22	Alpha-galactosidase	7060.72	0.7060719558634421
2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	7037.7	0.70376995600734
3.2.1.96	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	6659.33	0.6659329583725307
3.6.3.20	Transferred entry 7.6.2.10	6477.93	0.6477929595064621
5.2.1.8	Peptidylprolyl isomerase	6268.38	0.6268379608163591
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	5943.43	0.5943429628476214
2.7.11.1	Non-specific serine/threonine protein kinase	5744.25	0.5744249640926955
3.2.1.4	Cellulase	5631.59	0.5631589647969332
3.6.3.31	Transferred entry 7.6.2.11	5479.42	0.5479419657481477
3.6.3.17	Transferred entry 7.5.2.8	5161.58	0.5161579677349654
3.5.1.28	N-acetylmuramoyl-L-alanine amidase	5055.14	0.5055139684003219
3.6.1.13	ADP-ribose diphosphatase	4882.05	0.48820496948230746
2.3.1.18	Galactoside O-acetyltransferase	4752.84	0.4752839702899991
3.2.1.3	Glucan 1,4-alpha-glucosidase	4622.18	0.46221797110675467
3.5.1.88	Peptide deformylase	4600.21	0.4600209712440891
4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase	4419.67	0.4419669723726446
3.2.1.26	Beta-fructofuranosidase	4406.13	0.44061297245728315
3.4.22.40	Bleomycin hydrolase	4331.01	0.43310097292685823
2.7.1.2	Glucokinase	4320.03	0.43200297299549417
4.2.1.11	Phosphopyruvate hydratase	4314.53	0.4314529730298746
2.7.6.1	Ribose-phosphate diphosphokinase	4246.74	0.4246739734536299
2.4.1.25	4-alpha-glucanotransferase	4131.47	0.4131469741741827
6.1.1.20	Phenylalanine--tRNA ligase	3968.76	0.39687597519128287
2.4.1.18	1,4-alpha-glucan branching enzyme	3962.6	0.39625997522978895
3.5.1.2	Glutaminase	3948.9	0.39488997531542763
2.5.1.48	Cystathionine gamma-synthase	3927.94	0.39279397544644856
3.1.11.6	Exodeoxyribonuclease VII	3907.89	0.39078897557178116
5.1.3.1	Ribulose-phosphate 3-epimerase	3881.99	0.388198975733682
3.4.21.92	Endopeptidase Clp	3874.56	0.38745597578012697
2.4.1.129	Peptidoglycan glycosyltransferase	3865.61	0.3865609758360734
6.1.1.17	Glutamate--tRNA ligase	3817.72	0.3817719761354338
2.4.2.10	Orotate phosphoribosyltransferase	3817.66	0.3817659761358088
3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	3813.59	0.3813589761612504
1.2.1.10	Acetaldehyde dehydrogenase (acetylating)	3747.77	0.3747769765726912
3.1.26.4	Ribonuclease H	3728.8	0.3728799766912727
3.2.1.55	Non-reducing end alpha-L-arabinofuranosidase	3686.96	0.3686959769528145
3.6.3.32	Transferred entry 7.6.2.9	3676.79	0.3676789770163872
5.1.3.14	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	3639.75	0.3639749772479242
5.4.2.11	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	3627.06	0.36270597732724935
4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase	3536.79	0.35367897789152714
3.5.99.2	Aminopyrimidine aminohydrolase	3518.54	0.35185397800560786
3.1.26.5	Ribonuclease P	3505.5	0.3505499780871209
4.3.3.6	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)	3453.75	0.3453749784106101
3.6.3.36	Transferred entry 7.6.2.7	3417.69	0.3417689786360212
3.4.21.53	Endopeptidase La	3393.5	0.33934997878723283
6.3.5.2	GMP synthase (glutamine-hydrolyzing)	3373.02	0.33730197891525326
5.4.99.5	Chorismate mutase	3352.54	0.33525397904327375
1.3.99.1	Deleted entry	3261.62	0.32616197961161464
4.2.1.33	3-isopropylmalate dehydratase	3229.83	0.32298297981033397
6.3.2.4	D-alanine--D-alanine ligase	3219.31	0.3219309798760945
2.7.4.3	Adenylate kinase	3162.16	0.3162159802333391
5.1.3.9	N-acylglucosamine-6-phosphate 2-epimerase	3162.05	0.3162049802340267
3.6.3.12	Transferred entry 7.2.2.6	3141.41	0.31414098036304733
3.5.99.6	Glucosamine-6-phosphate deaminase	3124.99	0.3124989804656887
1.1.1.86	Ketol-acid reductoisomerase (NADP(+))	3108	0.31079998057189323
3.1.1.96	D-aminoacyl-tRNA deacylase	3080.85	0.30808498074160784
3.6.3.28	Transferred entry 7.3.2.2	2988.08	0.2988079813215131
4.1.1.23	Orotidine-5'-phosphate decarboxylase	2985.1	0.29850998134014106
6.1.1.11	Serine--tRNA ligase	2980.86	0.2980859813666453
2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)	2968.12	0.29681198144628307
