Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Merkel cell polyomavirus	493803	2445.67	19.8	0.331164	0.329447	1097
Staphylococcus phage tp310-2	445516	2162.96	17.511	0.14355	0.392238	1059
Staphylococcus phage SMSAP5	1168612	1765.15	14.291	0.130088	0.418747	305
Staphylococcus phage StB20	1147043	1036.69	8.393	0.109962	0.108193	4380
Staphylococcus phage 42E	320837	1031.1	8.347999999999999	0.060738	0.355882	416
Staphylococcus phage Slt	130478	918.45	7.436	0.026815	0.452438	78
Staphylococcus phage YMC/09/04/R1988	1399949	708.2	5.734	0.035989	0.392646	114
Staphylococcus phage 3A	215167	542.86	4.3950000000000005	0.029651	0.387289	96
Staphylococcus phage phi2958PVL	430796	375.65	3.041	0.038858	0.407095	49
Staphylococcus phage Ipla5	1197952	320.29	2.593	0.039913	0.029595	2239
Staphylococcus phage phiPVL-CN125	648017	300.28	2.431	0.014555	0.047997	17
Staphylococcus phage StauST398-5	1308897	190.36	1.541	0.121569	0.03368	150
Staphylococcus phage tp310-3	445517	180.1	1.458	0.218713	0.029341	257
Staphylococcus phage Pvl108	360398	122.54	0.992	0.051527	0.10513	126
Staphylococcus phage CNPH82	398839	99.2	0.803	0.020729	0.01598	265
Staphylococcus phage StB27	1147044	78.05	0.632	0.012997	0.012607	335
Pa6virus	1982251	74.13	0.6	0.029178	0.029178	11
