Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus	1301	25.35	884771	1067436
Prevotella	838	18.77	1030944	790367
Bifidobacterium	1678	12.240000000000002	537495	515401
Corynebacterium	1716	6.07	296421	255595
Finegoldia	150022	5.470000000000001	198143	230330
Propionimicrobium	203133	5.46	216652	229909
Actinobaculum	76833	3.7900000000000005	147801	159589
Peptoniphilus_A	162289	3.34	119059	140640
Varibaculum	184869	2.06	87908	86743
Anaerococcus	165779	1.6200000000000006	61172	68213
Atopobium	1380	1.5700000000000003	43962	66109
Porphyromonas	836	1.53	66247	64424
Actinotignum	1653174	1.2899999999999998	51633	54320
Pauljensenia	2740557	1.1	43354	46319
Peptoniphilus_C	162289	0.9600000000000001	34273	40423
Trueperella	1069494	0.93	35638	39160
Imtechella	1165076	0.74	44502	31160
Allobacillus	1400133	0.7100000000000001	34468	29896
Brevibacterium	1696	0.71	31459	29897
Ezakiella	1582879	0.61	21149	25686
Campylobacter_B	194	0.53	17149	22317
Peptostreptococcus	1257	0.45999999999999996	18762	19370
Dialister	39948	0.44	10573	18527
Lawsonella	1847725	0.4099999999999999	14744	17264
Peptoniphilus_B	162289	0.37	13920	15580
Gleimia	2692113	0.36	13517	15159
Jonquetella	428711	0.33	11483	13896
Aerococcus	1375	0.28	10753	11791
Urinicoccus	2024199	0.27	10525	11370
Facklamia	66831	0.24	8530	10106
Winkia	2692118	0.23	9705	9685
Olegusella	1979843	0.22	7824	9264
Staphylococcus	1279	0.19	8216	8000
Porphyromonas_A	836	0.18000000000000002	7718	7579
Dermabacter	36739	0.18	7673	7579
Veillonella	29465	0.14	5441	5895
Fenollaria	1686313	0.13	4243	5474
Ndongobacter	1930845	0.11	4113	4632
Bradyrhizobium	374	0.11	16975	4631
Mobiluncus	2050	0.1	3992	4211
Falseniella	2862142	0.09	2849	3790
Actinomyces	1654	0.07	3557	2948
Negativicoccus	909928	0.06	1499	2526
Peptoniphilus_E	162289	0.05	1602	2105
Slackia	84108	0.04	1413	1684
Peptococcus	2740	0.04	1632	1684
Cutibacterium	1912216	0.03	1499	1263
Bilophila	35832	0.03	2913	1263
Anaeroglobus	156454	0.01	395	421
Fusobacterium	848	0.01	526	421
