Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus epidermidis	1282	56998.54	76.97699999999999	100
Staphylococcus capitis	29388	8646.27	11.677	9902
Cutibacterium acnes	1747	3096.01	4.181	81
Staphylococcus aureus	1280	2835.55	3.8289999999999997	42
Staphylococcus warneri	1292	845.6	1.142	8
Staphylococcus sp. E463	1234593	462.93	0.625	2108
Staphylococcus caprae	29380	406.47	0.549	8147
Corynebacterium striatum	43770	288.22	0.38899999999999996	7109
Porphyromonas_u_s	836	161.43	0.218	12
Streptococcus parasanguinis	1318	153.85	0.208	4386
Turicella otitidis	29321	151.57	0.20500000000000002	3490
