Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcus	1269	15599.58	24.609	74435
Staphylococcus	1279	10362.29	16.348	35962
Corynebacterium	1716	9328.479999999998	14.716000000000001	193725
Propionibacterium	1743	7188.05	11.339	61
Enhydrobacter	212791	6712.51	10.589	118310
Paenibacillus	44249	2646.75	4.175	40416
Kocuria	57493	2591.18	4.088	36948
Pseudonocardia	1847	2455.45	3.8739999999999997	8257
Acinetobacter	469	990.9099999999999	1.563	4329
Cutibacterium	1912216	829.48	1.309	6444
Microbacterium	33882	572.48	0.903	2954
Paracoccus	265	480.12	0.757	14254
Streptococcus	1301	395.28000000000003	0.623	136
Finegoldia	150022	299.9	0.473	56
Neisseria	482	260.85	0.41100000000000003	491
Rothia	32207	251.29000000000002	0.397	2586
Actinomyces	1654	227.32	0.358	6669
Escherichia	561	202.96	0.32	24
Bacteroides	816	191.07	0.301	6923
Bordetella	517	182.33	0.28800000000000003	423
Prevotella	838	181.75	0.28700000000000003	1055
Turicella	144193	169.92	0.268	4472
Lactobacillus	1578	132.3	0.209	22
Lactococcus	1357	118.17	0.186	31
Shewanella	22	117.79	0.186	176
Pseudomonas	286	115.04	0.181	3044
Herbaspirillum	963	94.38	0.149	20
Roseomonas	125216	94	0.148	2282
Granulicatella	117563	91.83	0.145	13
Propionibacteriaceae_u_g	31957	90.53	0.14300000000000002	122
Veillonella	29465	86.68	0.13699999999999998	13
Anaerococcus	165779	84.1	0.133	1293
Moraxella	475	83.93	0.132	327
Xanthomonas	338	81.31	0.128	526
Haemophilus	724	79.6	0.126	28
