Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GENE sdr 1604 Branch		-	11194.2	6.3950000000000005	0.637056	0.623596	552
Staphylococcus aureus GI 33390919		-	10709.8	6.117999999999999	0.984925	0.99026	1026
Staphylococcus aureus GENE cap 1572 Branch		-	8961.22	5.119	0.764706	0.627312	259
Staphylococcus aureus GENE cap 1491 Branch		-	6505.19	3.7159999999999997	0.539185	0.539185	865
Staphylococcus aureus GENE fnb 1642 Branch		-	6201.98	3.543	0.53211	0.53211	150
Staphylococcus aureus GENE 1587 Branch		-	6197.03	3.54	0.611111	0.611111	16
Staphylococcus aureus GeneID SASa0118		-	5675.35	3.2419999999999995	0.695883	0.695883	1101
Staphylococcus aureus GENE cap 1663 Branch		-	5229.91	2.988	0.518797	0.518797	175
Staphylococcus aureus GeneID SAS0119		-	5195.6	2.968	0.666667	0.666667	946
Staphylococcus aureus GENE cap 1575 Branch		-	5135.39	2.934	0.525948	0.525948	825
Staphylococcus aureus GI 33390920		-	4913.18	2.807	0.77707	0.77707	251
Staphylococcus aureus GENE set 1668 Branch		-	4833.67	2.761	0.84127	0.84127	216
Staphylococcus aureus GENE cap 1506 Branch		-	4607.12	2.632	0.640523	0.640523	660
Staphylococcus aureus GI 33390948		-	4556.47	2.603	0.629834	0.768966	233
Staphylococcus aureus GENE dfrA		-	4416.25	2.5229999999999997	0.755365	0.755365	238
Staphylococcus aureus GENE thyA		-	4319.51	2.468	0.652672	0.652672	477
Staphylococcus aureus GeneID SAS0117		-	4172.84	2.384	0.601113	0.601113	539
Staphylococcus aureus GENE aur		-	4085.43	2.334	0.538269	0.538269	809
Staphylococcus aureus GENE traH		-	3869.68	2.2110000000000003	0.683128	0.683128	209
Staphylococcus aureus GeneID SASa2550		-	3846.81	2.198	0.54823	0.54823	658
Staphylococcus aureus GeneID SASa0122		-	3788.39	2.164	0.55102	0.55102	392
Staphylococcus aureus GeneID SAS0115		-	3645.81	2.083	0.565611	0.565611	379
Staphylococcus aureus GeneID SASa0120		-	3610.21	2.062	0.483019	0.483019	728
Staphylococcus aureus GENE topB		-	3225.86	1.8429999999999997	0.472398	0.472398	643
Staphylococcus aureus GI 33390967		-	3117.89	1.781	0.59144	0.59144	155
Staphylococcus aureus GENE cap 1548 Branch		-	3115.02	1.779	0.445604	0.445604	527
Staphylococcus aureus GeneID SASa0648		-	2927.36	1.672	0.509595	0.509595	247
Staphylococcus aureus GeneID SASa0125		-	2855.99	1.6320000000000001	0.518939	0.518939	177
Staphylococcus aureus GeneID SAS0121		-	2819.64	1.611	0.444234	0.444234	351
Staphylococcus aureus GENE traK		-	2794.05	1.5959999999999999	0.421474	0.421474	423
Staphylococcus aureus GI 33390960		-	2781.64	1.5890000000000002	0.550661	0.550661	125
Staphylococcus aureus GENE esxA		-	2673.37	1.5270000000000001	0.566038	0.566038	90
Staphylococcus aureus GENE trsO		-	2665.23	1.5230000000000001	0.554217	0.554217	80
Staphylococcus aureus GENE essA		-	2517.39	1.438	0.433962	0.433962	224
Staphylococcus aureus GeneID SASa0114		-	2514.27	1.436	0.41387	0.41387	275
Staphylococcus aureus GeneID SASa0647		-	2489.54	1.422	0.416268	0.416268	255
Staphylococcus aureus GeneID SASd0697		-	2463.66	1.407	0.475524	0.475524	141
Staphylococcus aureus GENE isdB		-	2408.24	1.376	0.555556	0.646617	62
Staphylococcus aureus GI 33390939		-	2219.24	1.268	0.547619	0.547619	41
Staphylococcus aureus GENE traM		-	2028.36	1.159	0.425	0.425	93
Staphylococcus aureus GENE traJ		-	1890.1	1.08	0.407407	0.407407	82
Staphylococcus aureus GENE isdF		-	1874.66	1.0710000000000002	0.517241	0.517241	30
