Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium acnes	1747	212188.34	76.228	4460
Staphylococcus epidermidis	1282	26602.2	9.557	133
Corynebacterium sp. KPL1856	1203563	16029.38	5.759	64
Propionibacterium sp. KPL1844	1203573	9790.55	3.517	106893
Cutibacterium granulosum	33011	4889.09	1.756	15419
Staphylococcus capitis	29388	2651.22	0.9520000000000001	1287
[Propionibacterium] namnetense	1574624	2166.01	0.7779999999999999	39078
Corynebacterium tuberculostearicum	38304	1076.09	0.387	2156
Corynebacterium pseudogenitalium	38303	1032.71	0.371	2734
Corynebacterium propinquum	43769	270.4	0.097	5546
Caulobacter sp. JGI 0001013-D04	1157680	252.21	0.091	4185
Rothia dentocariosa	2047	222.95	0.08	1477
Micrococcus luteus	1270	196.31	0.07100000000000001	42
Streptococcus_u_s	1301	189.19	0.068	9
Staphylococcus caprae	29380	160.76	0.058	3093
Propionibacterium_u_s	1743	149.92	0.054	27
Staphylococcus aureus	1280	128.5	0.046	120
Abiotrophia defectiva	46125	113.7	0.041	2005
Neisseriaceae_u_s	481	86.88	0.031	14
Rothia aeria	172042	84.88	0.03	356
Propionibacteriaceae_u_s	31957	77.17	0.027999999999999997	183
