Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	3499.52	44.428	0.251747	0.249643	19314
Staphylococcus phage Ipla7	1197953	958.34	12.167	0.118482	0.122422	2023
Staphylococcus phage Ipla5	1197952	876.53	11.128	0.090526	0.118135	1599
Staphylococcus phage CNPH82	398839	657.33	8.344999999999999	0.068525	0.100873	1289
Human immunodeficiency virus 1	11676	545.77	6.929	0.043505	0.043505	550
Staphylococcus phage PH15	399185	445.03	5.65	0.04091	0.092226	919
Human polyomavirus 6	746830	393.9	5.0009999999999994	0.067534	0.067534	228
Staphylococcus phage 80alpha	53369	237.85	3.02	0.040698	0.042507	13
Equine infectious anemia virus	11665	111.69	1.418	0.014472	0.014472	243
Staphylococcus phage StB12	1147042	77.26	0.9809999999999999	0.010469	0.010591	537
Staphylococcus phage phiBU01	1519999	73.64	0.935	0.021739	0.014625	35
