Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bacilli	91061	37.540000000000006	673029	721551
Bacteroidia	200643	28.840000000000003	691007	554330
Actinomycetia	1760	19.97000000000001	357566	383842
Clostridia	186801	11.659999999999998	171408	224116
Campylobacteria	29547	1.1900000000000002	15868	22873
Negativicutes	909932	0.30000000000000004	3592	5766
Peptococcia	186801	0.26	4129	4997
Fusobacteriia	203490	0.16999999999999998	3030	3267
Gammaproteobacteria	1236	0.03	1005	577
Coriobacteriia	84998	0.03	521	577
Alphaproteobacteria	28211	0.02	930	384
