Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus epidermidis BCM-HMP0060	525374	556.96	25.930999999999997	57
Propionibacteriaceae_u_t	31957	459.43	21.39	30
Corynebacterium kroppenstedtii DSM 44385	645127	187.48	8.729000000000001	4540
Staphylococcus capitis CR01	1296619	179.22	8.344	163
Staphylococcus_u_t	1279	172.17	8.016	25
Rothia dentocariosa	2047	160.17	7.457	1048
Staphylococcus haemolyticus R1P1	1134914	141.41	6.584	71
Neisseriaceae_u_t	481	110.82	5.16	36
Finegoldia magna	1260	99.27	4.622	82
Veillonella_u_t	29465	80.92	3.7670000000000003	13
