Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriales	85009	1580114.9100000001	83.175	619008
Bacillales	1385	251063.3	13.215000000000002	61128
Tissierellales	1737405	29613.33	1.559	535193
Corynebacteriales	85007	21196.17	1.1149999999999998	105626
Micrococcales	85006	7741.350000000001	0.406	29699
Lactobacillales	186826	2849.82	0.14900000000000002	3186
Clostridiales	186802	2127.89	0.112	4353
Veillonellales	1843489	1547.08	0.081	8008
Bacteroidales	171549	1379.79	0.07300000000000001	14781
Tissierellia_u_o	1737404	782.94	0.041	6073
Campylobacterales	213849	429.74	0.023	1552
Actinomycetales	2037	240.51999999999998	0.013	271
Pseudomonadales	72274	225.81	0.012	114
Synergistales	649776	226.27	0.012	80
Bifidobacteriales	85004	89.3	0.005	1425
Enterobacterales	91347	80.07	0.004	6
