Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.7.7	DNA-directed DNA polymerase	20289.1	2.028909687547909
7.2.1.1	NADH:ubiquinone reductase (Na(+)-transporting)	19544.9	1.9544896990085874
3.6.4.12	DNA helicase	15090.6	1.5090597676047963
2.7.13.3	Histidine kinase	15029.1	1.5029097685518962
1.11.1.15	Peroxiredoxin	11611.6	1.161159821181388
5.2.1.8	Peptidylprolyl isomerase	11393	1.1392998245478274
5.99.1.3	Transferred entry 5.6.2.2	10349.2	1.034919840622345
3.2.1.23	Beta-galactosidase	9175.85	0.9175848586919321
1.1.1.133	dTDP-4-dehydrorhamnose reductase	7938	0.7937998777548191
6.3.4.4	Adenylosuccinate synthase	7246.1	0.7246098884100775
3.5.4.16	GTP cyclohydrolase I	6997.96	0.6997958922314329
3.6.1.1	Inorganic diphosphatase	6916.13	0.6916128934916147
2.1.1.163	Demethylmenaquinone methyltransferase	6881.37	0.6881368940269186
6.1.1.20	Phenylalanine--tRNA ligase	6572.51	0.6572508987833618
3.1.26.4	Ribonuclease H	6518.37	0.6518368996171177
4.1.1.65	Phosphatidylserine decarboxylase	6488.14	0.6488139000826597
2.3.1.180	Beta-ketoacyl-[acyl-carrier-protein] synthase III	6141.6	0.6141599054193748
1.15.1.1	Superoxide dismutase	6123.28	0.6123279057015028
2.7.1.23	NAD(+) kinase	6106.68	0.6106679059571427
2.4.2.1	Purine-nucleoside phosphorylase	5927.52	0.5927519087162063
2.7.7.6	DNA-directed RNA polymerase	5887.24	0.5887239093365182
2.7.7.4	Sulfate adenylyltransferase	5811.73	0.5811729104993719
4.2.1.20	Tryptophan synthase	5733.81	0.5733809116993399
3.1.26.5	Ribonuclease P	5499.41	0.5499409153090993
1.8.4.11	Peptide-methionine (S)-S-oxide reductase	5466.86	0.5466859158103692
1.18.1.2	Ferredoxin--NADP(+) reductase	5449.7	0.5449699160746331
2.1.1.223	tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase	5358.88	0.5358879174732609
3.6.3.14	Transferred entry 7.1.2.2	5309.31	0.5309309182366388
2.1.1.199	16S rRNA (cytosine(1402)-N(4))-methyltransferase	5295.07	0.5295069184559348
1.17.4.1	Ribonucleoside-diphosphate reductase	5291.56	0.5291559185099888
2.1.1.63	Methylated-DNA--[protein]-cysteine S-methyltransferase	5270.01	0.5270009188418587
3.2.1.52	Beta-N-acetylhexosaminidase	5246.89	0.5246889191979066
4.1.1.23	Orotidine-5'-phosphate decarboxylase	5144.25	0.5144249207785624
1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring)	5141.86	0.5141859208153684
4.2.1.33	3-isopropylmalate dehydratase	5086.4	0.5086399216694522
2.7.1.25	Adenylyl-sulfate kinase	5059.73	0.5059729220801701
3.1.22.4	Crossover junction endodeoxyribonuclease	5012.63	0.5012629228055101
3.6.1.19	Transferred entry 3.6.1.9	4987.22	0.498721923196824
5.3.1.9	Glucose-6-phosphate isomerase	4982.99	0.498298923261966
2.1.2.2	Phosphoribosylglycinamide formyltransferase	4942.96	0.4942959238784279
1.4.4.2	Glycine dehydrogenase (aminomethyl-transferring)	4811	0.48109992591061157
6.1.1.11	Serine--tRNA ligase	4806.92	0.4806919259734436
6.3.2.6	Phosphoribosylaminoimidazolesuccinocarboxamide synthase	4804.62	0.4804619260088636
2.7.1.180	FAD:protein FMN transferase	4726.66	0.4726659272094474
1.5.1.3	Dihydrofolate reductase	4679.9	0.46798992792955124
2.7.2.8	Acetylglutamate kinase	4648.27	0.46482692841665324
1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase	4643.65	0.46436492848780114
2.7.1.33	Pantothenate kinase	4629.66	0.4629659287032471
1.16.3.2	Bacterial non-heme ferritin	4617.9	0.46178992888435105
4.1.2.50	6-carboxytetrahydropterin synthase	4471.98	0.44719793113151873
2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase	4351.13	0.4351129329926085
2.1.2.10	Aminomethyltransferase	4323.6	0.4323599334165705
5.4.99.25	tRNA pseudouridine(55) synthase	4276.2	0.42761993414653027
4.3.2.2	Adenylosuccinate lyase	4268.71	0.42687093426187633
2.5.1.61	Hydroxymethylbilane synthase	4257.36	0.42573593443666624
4.1.99.12	3,4-dihydroxy-2-butanone-4-phosphate synthase	4177.07	0.417706935673132
2.1.2.1	Glycine hydroxymethyltransferase	4170.22	0.4170219357786221
3.4.13.22	D-Ala-D-Ala dipeptidase	4169.74	0.41697393578601405
2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase	4124.68	0.412467936479938
6.1.1.14	Glycine--tRNA ligase	4116.6	0.4116599366043699
4.1.1.20	Diaminopimelate decarboxylase	4085.03	0.40850293709054786
1.1.1.169	2-dehydropantoate 2-reductase	4074.02	0.4074019372601019
6.1.1.22	Asparagine--tRNA ligase	4069.55	0.40695493732893984
3.5.2.17	Hydroxyisourate hydrolase	4030.4	0.4030399379318497
2.7.1.130	Tetraacyldisaccharide 4'-kinase	4001.51	0.40015093837675564
4.1.1.19	Arginine decarboxylase	3984.47	0.3984469386391716
2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase	3981.08	0.39810793869137756
3.4.13.21	Dipeptidase E	3920.2	0.3920199396289294
6.1.1.2	Tryptophan--tRNA ligase	3890.68	0.3890679400835374
2.5.1.3	Thiamine phosphate synthase	3867.8	0.38677994043588937
6.1.1.9	Valine--tRNA ligase	3861.55	0.38615494053213933
4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)	3848.76	0.3848759407291053
4.2.1.49	Urocanate hydratase	3847.31	0.38473094075143527
1.2.1.70	Glutamyl-tRNA reductase	3838.3	0.3838299408901893
1.9.3.1	Cytochrome-c oxidase	3814.28	0.3814279412600972
3.1.3.11	Fructose-bisphosphatase	3808.36	0.3808359413512652
2.8.1.10	Thiazole synthase	3798.7	0.3798699415000292
1.3.1.12	Prephenate dehydrogenase	3767.72	0.37677194197712105
1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring)	3754.12	0.37541194218656104
1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	3742.59	0.37425894236412305
6.1.1.6	Lysine--tRNA ligase	3734.68	0.37346794248593695
2.7.2.3	Phosphoglycerate kinase	3716.27	0.37162694276945096
6.3.2.1	Pantoate--beta-alanine ligase (AMP-forming)	3698.85	0.3698849430377189
3.1.3.7	3'(2'),5'-bisphosphate nucleotidase	3691.45	0.3691449431516789
2.5.1.55	3-deoxy-8-phosphooctulonate synthase	3654.93	0.36549294371408675
5.4.99.13	Isobutyryl-CoA mutase	3643.87	0.3643869438844108
1.3.5.1	Succinate dehydrogenase (quinone)	3639.79	0.3639789439472428
1.4.3.16	L-aspartate oxidase	3633.46	0.36334594404472476
4.2.1.3	Aconitate hydratase	3581.12	0.35811194485076064
6.1.1.15	Proline--tRNA ligase	3574.88	0.3574879449468566
2.7.4.25	(d)CMP kinase	3574.16	0.3574159449579446
6.2.1.5	Succinate--CoA ligase (ADP-forming)	3548.93	0.3548929453464865
2.6.1.52	Phosphoserine transaminase	3521.18	0.3521179457738365
4.2.1.11	Phosphopyruvate hydratase	3505.72	0.35057194601192043
3.5.4.33	tRNA(adenine(34)) deaminase	3502.94	0.3502939460547324
1.5.1.2	Pyrroline-5-carboxylate reductase	3497.94	0.3497939461317324
2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase	3441.84	0.34418394699567234
1.1.1.205	IMP dehydrogenase	3415.89	0.3415889473953022
3.5.1.108	UDP-3-O-acyl-N-acetylglucosamine deacetylase	3399.6	0.33995994764616816
4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	3399.6	0.33995994764616816
1.4.3.5	Pyridoxal 5'-phosphate synthase	3382.09	0.3382089479158222
2.2.1.2	Transaldolase	3376.54	0.3376539480012921
4.2.3.4	3-dehydroquinate synthase	3370.95	0.3370949480873781
4.1.1.11	Aspartate 1-decarboxylase	3354.82	0.3354819483357801
2.7.1.6	Galactokinase	3342	0.33419994853320806
6.1.1.5	Isoleucine--tRNA ligase	3287.76	0.32877594936850396
2.7.1.170	Anhydro-N-acetylmuramic acid kinase	3265.89	0.3265889497053019
2.5.1.72	Quinolinate synthase	3202.96	0.32029595067442374
2.7.1.21	Thymidine kinase	3200.69	0.3200689507093817
6.1.1.1	Tyrosine--tRNA ligase	3145.27	0.31452695156284954
4.2.1.126	N-acetylmuramic acid 6-phosphate etherase	3127.47	0.31274695183696954
2.7.7.3	Pantetheine-phosphate adenylyltransferase	3118.18	0.31181795198003553
1.1.1.23	Histidinol dehydrogenase	3112.63	0.3112629520655055
6.1.1.7	Alanine--tRNA ligase	3094.94	0.3094939523379314
4.2.1.136	ADP-dependent NAD(P)H-hydrate dehydratase	3084.13	0.3084129525044054
5.1.99.6	NAD(P)H-hydrate epimerase	3084.13	0.3084129525044054
1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	3077.32	0.30773195260927944
5.3.1.24	Phosphoribosylanthranilate isomerase	3072.14	0.3072139526890514
4.3.99.3	7-carboxy-7-deazaguanine synthase	3068.39	0.30683895274680134
3.1.3.15	Histidinol-phosphatase	3050.66	0.3050659530198433
4.2.1.19	Imidazoleglycerol-phosphate dehydratase	3050.66	0.3050659530198433
2.3.1.29	Glycine C-acetyltransferase	3016.56	0.30165595354498326
4.2.3.5	Chorismate synthase	3011.32	0.30113195362567924
2.7.1.48	Uridine kinase	2985.92	0.2985919540168392
6.1.1.18	Glutamine--tRNA ligase	2980.54	0.29805395409969115
3.1.13.1	Exoribonuclease II	2959.11	0.29591095442971316
5.4.2.11	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	2953.49	0.2953489545162611
2.1.1.45	Thymidylate synthase	2947.11	0.29471095461451313
2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase	2932.9	0.2932899548333471
3.5.4.10	IMP cyclohydrolase	2932.9	0.2932899548333471
6.3.4.13	Phosphoribosylamine--glycine ligase	2922.85	0.2922849549881171
4.2.1.1	Carbonic anhydrase	2915.26	0.29152595510500307
1.3.5.2	Dihydroorotate dehydrogenase (quinone)	2905.43	0.29054295525638496
