Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Escherichia coli GCA_000801165.1	562	92.72	1470267	1421292
Allobacillus halotolerans GCA_007559355.1	1955271	2.31	19790	35410
Imtechella halotolerans GCA_000260835.1	946077	2.27	23958	34797
Propionimicrobium lymphophilum GCA_000510445.1	1111131	0.8100000000000002	5588	12416
Actinotignum sanguinis GCA_003957255.1	1445614	0.43	2989	6591
Actinobaculum massiliense GCA_000315465.1	883066	0.37	2523	5672
Anaerococcus lactolyticus GCA_000758765.1	1284686	0.28	1854	4292
Varibaculum massiliense GCA_900106855.1	1852372	0.24	1888	3679
Aerococcus urinae_B GCA_001811135.1	1739288	0.12	766	1839
Actinotignum schaalii_A GCA_000411135.1	883067	0.12	820	1839
Aerococcus sp001813115 GCA_001811965.1	1739333	0.1	735	1533
Peptoniphilus_B duerdenii GCA_000478945.1	1111133	0.07	496	1073
Allobacillus salarius GCA_007559425.1	1955272	0.06	532	920
Aerococcus urinae_D GCA_001809895.1	1715159	0.05	342	766
Facklamia hominis	178214	0.02	117	307
Peptoniphilus_C_u_t	162289	0.02	106	307
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.02	115	307
