GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	97314.5	9.7638889088425
GO:0005524	Molecular_Functions	ATP binding	44563.9	4.471244973203031
GO:0003677	Molecular_Functions	DNA binding	36716.7	3.6839091800224772
GO:0005737	Cellular_Components	cytoplasm	36311.5	3.643254110265525
GO:0005886	Cellular_Components	plasma membrane	17960.2	1.8020068703080534
GO:0046872	Molecular_Functions	metal ion binding	17322.3	1.738004232109731
GO:0016787	Molecular_Functions	hydrolase activity	12552.4	1.259424229065089
GO:0006412	Biological_Processes	translation	12267.9	1.2308793935619964
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	11629	1.1667764220227144
GO:0016020	Cellular_Components	membrane	11358.4	1.1396262199589644
GO:0003735	Molecular_Functions	structural constituent of ribosome	11251.8	1.1289306858126387
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	9807.52	0.9840212481310698
GO:0005840	Cellular_Components	ribosome	9662.76	0.9694969936937142
GO:0055085	Biological_Processes	transmembrane transport	9649.81	0.9681976769282834
GO:0016740	Molecular_Functions	transferase activity	9568.66	0.9600556263093872
GO:0016491	Molecular_Functions	oxidoreductase activity	8874.51	0.8904092376820706
GO:0016887	Molecular_Functions	ATPase activity	8340.68	0.8368482902774455
GO:0005975	Biological_Processes	carbohydrate metabolic process	8266.98	0.8294537230487006
GO:0022857	Molecular_Functions	transmembrane transporter activity	7992.47	0.8019112176217976
GO:0000287	Molecular_Functions	magnesium ion binding	6780.77	0.6803373083806828
GO:0008270	Molecular_Functions	zinc ion binding	6764.07	0.6786617415866525
GO:0019843	Molecular_Functions	rRNA binding	6574.19	0.659610446805186
GO:0003723	Molecular_Functions	RNA binding	6111.77	0.6132143032785077
GO:0043565	Molecular_Functions	sequence-specific DNA binding	5678.63	0.5697559199751351
GO:0003824	Molecular_Functions	catalytic activity	5445.75	0.5463902915323928
GO:0016301	Molecular_Functions	kinase activity	5257.16	0.5274684267607647
GO:0003676	Molecular_Functions	nucleic acid binding	5168.41	0.5185638427505732
GO:0005525	Molecular_Functions	GTP binding	4479.34	0.44942714749533275
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	4407.85	0.44225431695010936
GO:0006313	Biological_Processes	transposition, DNA-mediated	4235.73	0.4249849423040907
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	4231.86	0.42459665227457594
GO:0000160	Biological_Processes	phosphorelay signal transduction system	4079.06	0.40926571777590276
GO:0006281	Biological_Processes	DNA repair	3929.89	0.39429899330491397
GO:0016829	Molecular_Functions	lyase activity	3909.02	0.3922050364790808
GO:0004803	Molecular_Functions	transposase activity	3676.98	0.3689236880427449
GO:0051301	Biological_Processes	cell division	3674.96	0.36872101469400587
GO:0006260	Biological_Processes	DNA replication	3576.6	0.3588522272771898
GO:0008168	Molecular_Functions	methyltransferase activity	3417.23	0.34286210272841
GO:0009279	Cellular_Components	cell outer membrane	3371.58	0.3382818857135904
GO:0005887	Cellular_Components	integral component of plasma membrane	3353.68	0.33648591891040813
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	3285.51	0.3296461950571716
GO:0009058	Biological_Processes	biosynthetic process	3199.31	0.3209974610664279
GO:0009055	Molecular_Functions	electron transfer activity	3148.65	0.31591457401339923
GO:0006310	Biological_Processes	DNA recombination	3066.71	0.30769326005514475
GO:0005623	Cellular_Components	cell	2963.65	0.2973529059358171
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	2918.54	0.2928268689251159
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	2892.31	0.2901951253917376
GO:0000049	Molecular_Functions	tRNA binding	2818.02	0.28274136149182644
GO:0008233	Molecular_Functions	peptidase activity	2783.6	0.2792878878959865
GO:0015074	Biological_Processes	DNA integration	2760.83	0.2770032977223295
GO:0000155	Molecular_Functions	phosphorelay sensor kinase activity	2700.02	0.27090202725855783
GO:0071555	Biological_Processes	cell wall organization	2697.03	0.27060203056908777
GO:0051287	Molecular_Functions	NAD binding	2576.62	0.2585208929841058
GO:0045454	Biological_Processes	cell redox homeostasis	2413.79	0.24218361507560476
GO:0016853	Molecular_Functions	isomerase activity	2377.22	0.23851442479670107
