Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Escherichia coli	562	17.37	756059	430271
Actinotignum sanguinis	1445614	17.1	300870	423583
Imtechella halotolerans	1165090	14.14	378589	350261
Allobacillus halotolerans	570278	12.55	273346	310875
Actinotignum schaalii_A	59505	5.34	95592	132277
Aerococcus sanguinicola	119206	4.79	86408	118653
Enterococcus faecalis	1351	4.52	102968	111965
Propionimicrobium lymphophilum	33012	3.25	57225	80506
Bifidobacterium pseudocatenulatum	28026	1.91	36050	47313
Prevotella disiens	28130	1.13	26274	27991
Cutibacterium avidum	33010	1.07	23437	26505
Falseniella ignava	137730	1.04	15277	25762
Staphylococcus epidermidis	1282	1.03	20373	25514
Peptoniphilus_A harei_A	54005	0.8699999999999999	13461	21551
Porphyromonas uenonis_A	281920	0.66	12021	16349
Actinotignum timonense	1870995	0.63	12342	15606
Pauljensenia turicensis	131111	0.56	9444	13872
Campylobacter_B ureolyticus	827	0.53	7896	13129
Facklamia hominis	178214	0.49	7564	12138
Prevotella buccalis	28127	0.49	12541	12138
Aerococcus urinae_D	1376	0.42	7695	10404
Allobacillus salarius	1955272	0.37	8046	9165
Peptoniphilus_C coxii	755172	0.35	5530	8670
Prevotella sp900547085	838	0.31	5656	7679
Corynebacterium sp001815985	43771	0.31	5801	7679
Actinotignum schaalii	59505	0.3	5531	7431
Prevotella bergensis	242750	0.29	8135	7184
Campylobacter_B ureolyticus_A	827	0.28	4016	6936
Dialister micraerophilus	309120	0.27	2852	6688
Fusicatenibacter saccharivorans	1150298	0.25	7834	6193
Bifidobacterium bifidum	1681	0.22999999999999998	4500	5697
Corynebacterium imitans	156978	0.22999999999999998	5155	5697
Peptoniphilus_A harei	54005	0.21	3292	5202
Prevotella colorans	1703337	0.21	5318	5202
Porphyromonas_A somerae	322095	0.21	4181	5202
Varibaculum cambriense	184870	0.21	3651	5202
Winkia neuii	33007	0.19	3879	4706
Ezakiella peruensis	1464038	0.18	2553	4459
Corynebacterium pyruviciproducens	598660	0.18	4193	4459
Collinsella aerofaciens_M	74426	0.18	3522	4459
Aerococcus urinae_A	1376	0.17	2938	4211
Blautia_A massiliensis	89014	0.17	4907	4211
Faecalibacterium prausnitzii_D	853	0.16	3799	3964
Anaerococcus sp900258475	77133	0.16	3046	3963
Finegoldia magna_H	1260	0.15	2540	3716
Corynebacterium tuberculostearicum	38304	0.15	3222	3716
Faecalibacterium prausnitzii	853	0.14	3770	3468
Anaerococcus octavius	54007	0.14	2313	3468
Prevotella sp000479005	28127	0.14	3468	3468
Blautia_A wexlerae	40520	0.13	5057	3220
Anaerostipes hadrus	649756	0.13	3119	3220
Peptoniphilus_A vaginalis	54005	0.13	2062	3220
Corynebacterium tuberculostearicum_C	38304	0.13	2567	3220
Blautia_A obeum	40520	0.12000000000000001	3602	2973
Peptoniphilus_A lacydonensis	1673725	0.12	1963	2973
Oliverpabstia intestinalis	2606633	0.11	3434	2725
