Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	34324.3	3.4324303259161284
PF00528	Binding-protein-dependent transport system inner membrane component	10257.5	1.0257500973970244
PF07690	Major Facilitator Superfamily	7199.29	0.7199290683587057
PF00664	ABC transporter transmembrane region	6690.77	0.6690770635302061
PF01926	50S ribosome-binding GTPase	5538.2	0.5538200525863222
PF00271	Helicase conserved C-terminal domain	5481.52	0.5481520520481343
PF08245	Mur ligase middle domain	4821.45	0.4821450457806369
PF00486	Transcriptional regulatory protein, C terminal	4590.77	0.459077043590284
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	4506.14	0.45061404278670514
PF00300	Histidine phosphatase superfamily (branch 1)	4172.04	0.4172040396143584
PF00860	Permease family	4167.86	0.4167860395746684
PF01381	Helix-turn-helix	4158.17	0.41581703948266
PF00128	Alpha amylase, catalytic domain	4152.97	0.415297039433285
PF00156	Phosphoribosyl transferase domain	4130.96	0.41309603922429555
PF00270	DEAD/DEAH box helicase	3924	0.3924000372591688
PF00072	Response regulator receiver domain	3866.19	0.3866190367102512
PF03610	PTS system fructose IIA component	3707.88	0.37078803520706594
PF01479	S4 domain	3656.63	0.36566303472043693
PF00004	ATPase family associated with various cellular activities (AAA)	3573.9	0.35739003393489893
PF00665	Integrase core domain	3558.06	0.35580603378449494
PF01546	Peptidase family M20/M25/M40	3539.5	0.353950033608264
PF02875	Mur ligase family, glutamate ligase domain	3502.48	0.35024803325675163
PF00293	NUDIX domain	3332.95	0.3332950316470302
PF00588	SpoU rRNA Methylase family	3126.84	0.3126840296899744
PF07992	Pyridine nucleotide-disulphide oxidoreductase	3050.35	0.3050350289636864
PF13276	HTH-like domain	2996.49	0.29964902845227487
PF00009	Elongation factor Tu GTP binding domain	2974.34	0.2974340282419562
PF02378	Phosphotransferase system, EIIC	2823.6	0.2823600268106496
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit	2759.71	0.2759710262040012
PF00356	Bacterial regulatory proteins, lacI family	2757.09	0.2757090261791238
PF00266	Aminotransferase class-V	2740.22	0.2740220260189397
PF01751	Toprim domain	2716.45	0.2716450257932388
PF00117	Glutamine amidotransferase class-I	2715.42	0.27154202578345876
PF00571	CBS domain	2714.27	0.27142702577253924
PF01966	HD domain	2676.37	0.26763702541267115
PF04851	Type III restriction enzyme, res subunit	2674.02	0.2674020253903574
PF00534	Glycosyl transferases group 1	2651.06	0.2651060251723476
PF01230	HIT domain	2604.01	0.26040102472559845
PF01297	Zinc-uptake complex component A periplasmic	2586.07	0.2586070245552545
PF02272	DHHA1 domain	2580.84	0.2580840245055946
PF00455	DeoR C terminal sensor domain	2559.28	0.2559280243008781
PF01420	Type I restriction modification DNA specificity domain	2534.5	0.253450024065587
PF00849	RNA pseudouridylate synthase	2529.91	0.25299102402200396
PF08220	DeoR-like helix-turn-helix domain	2529.61	0.25296102401915543
PF02645	Uncharacterised protein, DegV family COG1307	2510.15	0.25101502383437885
PF07687	Peptidase dimerisation domain	2483.42	0.24834202358057209
PF00929	Exonuclease	2435.5	0.24355002312556207
PF01712	Deoxynucleoside kinase	2427.84	0.24278402305282884
PF00905	Penicillin binding protein transpeptidase domain	2393.56	0.23935602272733333
PF04221	RelB antitoxin	2385.51	0.238551022650897
PF00440	Bacterial regulatory proteins, tetR family	2357.54	0.2357540223853162
PF00392	Bacterial regulatory proteins, gntR family	2356.39	0.2356390223743967
PF03830	PTS system sorbose subfamily IIB component	2329.53	0.23295302211935565
PF00512	His Kinase A (phospho-acceptor) domain	2302.63	0.2302630218639347
PF00753	Metallo-beta-lactamase superfamily	2263.67	0.2263670214940017
PF13416	Bacterial extracellular solute-binding protein	2241.4	0.2241400212825436
PF07724	AAA domain (Cdc48 subfamily)	2188.36	0.21883602077891812
PF01368	DHH family	2181.76	0.21817602071624978
PF00294	pfkB family carbohydrate kinase	2152.12	0.215212020434812
PF10431	C-terminal, D2-small domain, of ClpB protein	2147.47	0.2147470203906593
PF02653	Branched-chain amino acid transport system / permease component	2118.91	0.2118910201194764
PF13520	Amino acid permease	2111.36	0.21113602004778761
PF01979	Amidohydrolase family	2104.7	0.21047001998454953
PF12730	ABC-2 family transporter protein	2102.47	0.21024701996337525
PF05175	Methyltransferase small domain	2082.34	0.2082340197722369
PF00133	tRNA synthetases class I (I, L, M and V)	2067.02	0.2067020196267704
PF09334	tRNA synthetases class I (M)	2047.13	0.20471301943791087
PF00580	UvrD/REP helicase N-terminal domain	2033.67	0.20336701931010548
PF13350	Tyrosine phosphatase family	2025.39	0.20253901923148518
PF00587	tRNA synthetase class II core domain (G, H, P, S and T)	2016.59	0.20165901914792742
PF03613	PTS system mannose/fructose/sorbose family IID component	2001.99	0.20019901900929749
PF00497	Bacterial extracellular solute-binding proteins, family 3	1988.95	0.19889501888548006
PF00589	Phage integrase family	1988.06	0.1988060188770293
PF02463	RecF/RecN/SMC N terminal domain	1982.92	0.198292018828224
PF02361	Cobalt transport protein	1970.02	0.19700201870573592
PF00448	SRP54-type protein, GTPase domain	1964.27	0.1964270186511385
PF00950	ABC 3 transport family	1962.14	0.19621401863091373
PF00557	Metallopeptidase family M24	1957.59	0.19575901858771053
PF08264	Anticodon-binding domain of tRNA	1943.95	0.194395018458196
PF01177	Asp/Glu/Hydantoin racemase	1932.04	0.19320401834510817
PF03051	Peptidase C1-like family	1927.78	0.19277801830465863
PF03129	Anticodon binding domain	1926.87	0.19268701829601795
PF01588	Putative tRNA binding domain	1910.26	0.1910260181383027
PF13439	Glycosyltransferase Family 4	1897.83	0.18978301802027733
PF03358	NADPH-dependent FMN reductase	1871.82	0.18718201777330715
PF01527	Transposase	1860.66	0.18606601766734074
PF00582	Universal stress protein family	1829.91	0.1829910173753633
PF00152	tRNA synthetases class II (D, K and N)	1827.02	0.18270201734792216
PF05958	tRNA (Uracil-5-)-methyltransferase	1821.45	0.1821450172950339
PF13361	UvrD-like helicase C-terminal domain	1817.44	0.18174401725695813
PF04650	YSIRK type signal peptide	1809.46	0.18094601718118644
PF00575	S1 RNA binding domain	1800.64	0.18006401709743877
PF01061	ABC-2 type transporter	1785.26	0.17852601695140255
PF01336	OB-fold nucleic acid binding domain	1776.83	0.177683016871358
PF00085	Thioredoxin	1743.66	0.17436601655640221
PF00689	Cation transporting ATPase, C-terminus	1741.27	0.17412701653370868
PF00521	DNA gyrase/topoisomerase IV, subunit A	1729.73	0.17297301642413404
PF00471	Ribosomal protein L33	1718.77	0.17187701632006663
PF01098	Cell cycle protein	1712.32	0.1712320162588226
PF03609	PTS system sorbose-specific iic component	1708.68	0.1708680162242601
PF01380	SIS domain	1700.77	0.17007701614915302
PF00746	LPXTG cell wall anchor motif	1691.34	0.16913401605961326
PF00550	Phosphopantetheine attachment site	1688.37	0.16883701603141252
PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain	1681.18	0.16811801596314205
PF01467	Cytidylyltransferase-like	1667.67	0.16676701583486186
PF01943	Polysaccharide biosynthesis protein	1651.01	0.16510101567667182
PF01029	NusB family	1633.31	0.16333101550860676
PF14667	Polysaccharide biosynthesis C-terminal domain	1630.3	0.1630300154800262
PF01225	Mur ligase family, catalytic domain	1630.24	0.1630240154794565
PF00579	tRNA synthetases class I (W and Y)	1621.43	0.16214301539580378
PF03577	Peptidase family C69	1604.05	0.1604050152307772
PF02880	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III	1595.39	0.15953901514854874
PF13180	PDZ domain	1579.3	0.15793001499577095
PF03780	Asp23 family, cell envelope-related function	1578.32	0.15783201498646565
PF01263	Aldose 1-epimerase	1575.67	0.1575670149613034
PF02195	ParB-like nuclease domain	1573.4	0.15734001493974928
PF12822	ECF transporter, substrate-specific component	1571.51	0.15715101492180333
PF00561	alpha/beta hydrolase fold	1570.25	0.1570250149098394
PF03144	Elongation factor Tu domain 2	1545.92	0.15459201467882117
PF03829	PTS system glucitol/sorbitol-specific IIA component	1539.82	0.15398201462090041
PF07702	UTRA domain	1525.76	0.1525760144873979
PF02608	ABC transporter substrate-binding protein PnrA-like	1517.34	0.1517340144074483
PF03706	Lysylphosphatidylglycerol synthase TM region	1514.28	0.15142801437839298
PF10035	Uncharacterized protein conserved in bacteria (DUF2179)	1514.23	0.15142301437791822
PF07733	Bacterial DNA polymerase III alpha NTPase domain	1504.08	0.15040801428154194
PF01189	16S rRNA methyltransferase RsmB/F	1488.73	0.1488730141357906
PF00912	Transglycosylase	1476.82	0.14768201402270276
PF01668	SmpB protein	1461.39	0.1461390138761918
PF00149	Calcineurin-like phosphoesterase	1459.51	0.14595101385834083
PF05103	DivIVA protein	1457.29	0.14572901383726147
PF02517	CPBP intramembrane metalloprotease	1456.45	0.14564501382928552
PF06156	Initiation control protein YabA	1453.17	0.14531701379814127
PF05193	Peptidase M16 inactive domain	1449.45	0.1449450137628191
PF01272	Transcription elongation factor, GreA/GreB, C-term	1447.37	0.14473701374306908
PF04607	Region found in RelA / SpoT proteins	1445.01	0.14450101372066043
PF03449	Transcription elongation factor, N-terminal	1438.08	0.14380801365485868
PF05977	Transmembrane secretion effector	1436.17	0.14361701363672286
PF07261	Replication initiation and membrane attachment	1430.22	0.1430220135802264
PF02660	Glycerol-3-phosphate acyltransferase	1426.58	0.14265801354566385
PF00324	Amino acid permease	1421.55	0.142155013497903
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	1417.5	0.14175001345944743
PF00069	Protein kinase domain	1411.2	0.14112001339962768
PF03816	Cell envelope-related transcriptional attenuator domain	1399.98	0.1399980132930915
PF00884	Sulfatase	1394.23	0.1394230132384941
PF01725	Ham1 family	1387.35	0.1387350131731671
PF03703	Bacterial PH domain	1386.02	0.1386020131605385
PF00485	Phosphoribulokinase / Uridine kinase family	1385.13	0.1385130131520878
PF03618	Kinase/pyrophosphorylase	1383.37	0.13833701313537622
