Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Flavobacteriaceae	49546	39.42	135719	119903
Alkalibacillaceae	186817	37.050000000000004	103821	112695
Mycobacteriaceae	1762	10.31	30609	31360
Actinomycetaceae	2049	4.18	9413	12714
Bacteroidaceae	815	3.84	13477	11680
Peptoniphilaceae	1570339	2.17	4409	6600
Propionibacteriaceae	31957	1	2245	3042
Atopobiaceae	1643824	0.69	1240	2099
Brevibacteriaceae	85019	0.45000000000000007	1139	1369
Streptococcaceae	1300	0.38	902	1156
Peptococcaceae	186807	0.17	375	517
Micrococcaceae	1268	0.14	317	426
Porphyromonadaceae	171551	0.11	293	335
Dermabacteraceae	85020	0.08	210	243
