Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetales	2037	97.77	11917396	11968142
Lactobacillales	186826	0.54	86784	66102
Bacillales_D	1385	0.45	57895	55085
Flavobacteriales	200644	0.4099999999999999	65059	50189
Veillonellales	1843489	0.36	37142	44068
Staphylococcales	1385	0.17	18919	20809
Enterobacterales_A	135625	0.12	11201	14688
Propionibacteriales	85009	0.08	8032	9793
Rhizobiales	356	0.06999999999999999	32580	8568
Mycobacteriales	85010	0.02	2041	2448
Enterobacterales	91347	0.02	4070	2448
