Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus	1301	85.78	5442820	5625814
Bifidobacterium	1678	5.739999999999999	399826	376453
Enterococcus	1350	4.25	359137	278733
Imtechella	1165076	1.9	176818	124610
Allobacillus	1400133	1.84	139008	120675
Corynebacterium	1716	0.17	14149	11149
Staphylococcus	1279	0.08	6423	5247
Aerococcus	1375	0.05	2850	3280
Actinotignum	1653174	0.03	1865	1968
Ralstonia	48736	0.03	4786	1968
Falseniella	2862142	0.02	1256	1312
Bradyrhizobium	374	0.02	4119	1312
Finegoldia	150022	0.02	1005	1312
Lactobacillus	1578	0.01	392	656
Facklamia	66831	0.01	393	656
Phocaeicola	909656	0.01	1769	656
Peptoniphilus_A	162289	0.01	367	656
Anaerococcus	165779	0.01	497	656
Veillonella	29465	0.01	706	656
Dialister	39948	0.01	235	656
