Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriaceae	31957	9011.369999999999	68.78999999999999	23
Corynebacteriaceae	1653	1257.65	9.601	9852
Staphylococcaceae	90964	937.71	7.158000000000001	2232
Micrococcaceae	1268	929.74	7.0969999999999995	830
Rhodospirillales_u_f	204441	307.36	2.346	3337
Peptoniphilaceae	1570339	269.01	2.054	261
Streptococcaceae	1300	116.75	0.8909999999999999	7
Burkholderiales_u_f	80840	110.78	0.8460000000000001	10
Tissierellia_u_f	1737404	81.32	0.621	1127
Actinomycetaceae	2049	78.11	0.596	98
