Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Tissierellales	1737405	28.530000000000005	478270	644426
Flavobacteriales	200644	18.75	527466	423519
Bacillales_D	1385	17.2	393638	388508
Actinomycetales	2037	10.680000000000003	202173	241237
Lactobacillales	186826	8.68	155026	196062
Bacteroidales	171549	6.109999999999999	136669	138011
Burkholderiales	80840	2.3	126341	51951
Veillonellales	1843489	1.8900000000000001	28010	42691
Mycobacteriales	85010	1.6600000000000001	29163	37496
Rhizobiales	356	1.52	88934	34335
Xanthomonadales	135614	0.64	26900	14456
Pseudomonadales	72274	0.51	29900	11520
Coriobacteriales	84999	0.48	8737	10842
Propionibacteriales	85009	0.4	9125	9035
Deinococcales	118964	0.27	7623	6098
Lachnospirales	186802	0.18	5956	4066
Staphylococcales	1385	0.15	3296	3389
Oscillospirales	186802	0.03	758	678
UBA1381	186801	0.01	173	226
Acetobacterales	204441	0.01	304	226
Sphingomonadales	204457	0.01	304	226
