Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Moraxellaceae	468	16491.23	26.125	22169
Pseudomonadaceae	135621	16075.239999999998	25.466000000000005	332280
Aerococcaceae	186827	8900.48	14.1	117132
Micrococcaceae	1268	7189.4400000000005	11.389	10430
Staphylococcaceae	90964	5923.39	9.384	30275
Corynebacteriaceae	1653	3998.36	6.3340000000000005	32805
Aeromonadaceae	84642	1520.94	2.409	1579
Peptoniphilaceae	1570339	490.09	0.776	1956
Enterococcaceae	81852	379.95	0.602	31
Streptococcaceae	1300	346.16	0.548	494
Propionibacteriaceae	31957	301.79	0.47800000000000004	52
Flavobacteriaceae	49546	250.68	0.39699999999999996	4909
Enterobacteriaceae	543	197.68	0.314	2778
Comamonadaceae	80864	177.38	0.281	1936
Veillonellaceae	31977	132.57	0.21	126
Actinomycetaceae	2049	123.68	0.196	2563
Brevibacteriaceae	85019	105.22	0.167	2530
Halomonadaceae	28256	94	0.149	16
Clostridiaceae	31979	90.33	0.14300000000000002	317
Caulobacteraceae	76892	88.1	0.13999999999999999	26
Shewanellaceae	267890	85.97	0.136	919
Bacillales_u_f	1385	82.23	0.13	931
Neisseriaceae	481	79.68	0.126	32
