Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillus crispatus	47770	88.91	7508640	7658784
Imtechella halotolerans	1165090	3.64	397431	313553
Allobacillus halotolerans	570278	3.2	283908	275651
Bifidobacterium breve	1685	1.15	97411	99062
Limosilactobacillus vaginalis	1633	0.77	49586	66328
Ralstonia pickettii_B	329	0.17	28696	14644
Comamonas tsuruhatensis	80866	0.16	37477	13783
Bradyrhizobium sp003020075	2057741	0.15	38834	12921
Lawsonella clevelandensis	1528099	0.12	8422	10337
Winkia neuii	33007	0.11	9027	9475
Bifidobacterium dentium	1689	0.09	7922	7753
Parvimonas micra	33033	0.09	5264	7753
Allobacillus salarius	1955272	0.08	7521	6891
Cutibacterium acnes	1747	0.08	7257	6891
Olegusella massiliensis	1776381	0.07	4377	6030
Pseudomonas_E antarctica_A	219572	0.07	15527	6030
Cystobacter_u_s	42	0.07	1994	6030
Lactobacillus_u_s	1578	0.06	4100	5168
Enterococcus faecalis	1351	0.05	4266	4307
Winkia sp002849225	29318	0.05	4082	4307
Varibaculum cambriense	184870	0.05	3513	4307
Corynebacterium pyruviciproducens	598660	0.05	4939	4307
Ezakiella coagulans	46507	0.05	3046	4307
Comamonas acidovorans	80866	0.04	8485	3446
Stenotrophomonas maltophilia_A	40324	0.04	6814	3446
Agrobacterium oryzihabitans	357	0.04	6428	3446
Methylobacterium thiocyanatum	223967	0.04	8485	3446
Limosilactobacillus portuensis	2742601	0.03	1939	2584
Facklamia hominis	178214	0.03	1888	2584
Pauljensenia radingae_A	1673722	0.03	2381	2584
Actinobaculum massiliense	202789	0.03	2050	2584
Peptoniphilus_A lacrimalis	33031	0.03	1607	2584
Meiothermus_B silvanus	52022	0.03	3288	2584
Staphylococcus haemolyticus	1283	0.02	1717	1723
Prevotella timonensis	386414	0.02	2462	1723
Prevotella timonensis_A	386414	0.02	2306	1723
Actinotignum sanguinis	1445614	0.02	1459	1723
Kytococcus sedentarius	1276	0.02	1884	1723
Kocuria rosea	1275	0.02	2271	1723
Corynebacterium tuberculostearicum	38304	0.02	1929	1723
Corynebacterium tuberculostearicum_C	38304	0.02	1457	1723
Lancefieldella rimae	1383	0.02	942	1723
Bilophila wadsworthia	35833	0.02	3383	1723
Streptococcus oralis_G	1303	0.01	499	861
Aerococcus urinae_D	1376	0.01	443	861
Staphylococcus epidermidis	1282	0.01	1053	861
Varibaculum cambriense_A	184870	0.01	698	861
Actinotignum schaalii_A	59505	0.01	456	861
Gleimia urinae	1689268	0.01	548	861
Micrococcus luteus	1270	0.01	454	861
Micrococcus endophyticus	455343	0.01	792	861
Citricoccus terreus	574650	0.01	609	861
Lancefieldella parvula	1382	0.01	277	861
Paraburkholderia fungorum	134537	0.01	2825	861
Pararheinheimera mesophila	1547515	0.01	797	861
Phyllobacterium myrsinacearum	28101	0.01	2825	861
Campylobacter_B gracilis	824	0.01	499	861
Parvimonas sp000214475	33033	0.01	388	861
Parvimonas sp000223315	77133	0.01	448	861
Peptoniphilus_A harei_A	54005	0.01	499	861
Finegoldia magna	1260	0.01	463	861
Peptoniphilus_C coxii	755172	0.01	942	861
Meiothermus_B sp003226535	167876	0.01	1048	861
Allisonella pneumosinta	39950	0.01	443	861
Anaeroglobus micronuciformis	187326	0.01	665	861
