Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Imtechella halotolerans	1165090	17.46	433940	335596
Streptococcus anginosus	1328	17.1	272309	328677
Allobacillus halotolerans	570278	15.55	314373	298884
Varibaculum massiliense	1852372	13.200000000000001	240791	253715
Prevotella colorans	1703337	7.490000000000001	174076	143964
Finegoldia magna_H	1260	3.27	46480	62852
Peptoniphilus_A harei_A	54005	2.72	39196	52281
Propionimicrobium lymphophilum	33012	2.25	36831	43247
Peptoniphilus_C coxii	755172	1.95	28412	37481
Prevotella sp000758925	1284775	1.37	30522	26333
Facklamia hominis	178214	1.33	19938	25564
Actinotignum sanguinis	1445614	1.19	19478	22873
Enterococcus faecalis	1351	1.14	24060	21912
Campylobacter_B ureolyticus	827	0.8500000000000001	11251	16338
Porphyromonas uenonis_A	281920	0.8	13471	15377
Prevotella timonensis	386414	0.62	15789	11917
Staphylococcus simulans	1286	0.57	11815	10956
Streptococcus intermedius	1338	0.55	8474	10571
Varibaculum cambriense	184870	0.54	8688	10379
Finegoldia magna	1260	0.52	7468	9995
Peptoniphilus_B duerdenii	507750	0.51	7919	9803
Allobacillus salarius	1955272	0.48	9752	9226
Varibaculum cambriense_A	184870	0.4699999999999999	8534	9034
Falseniella ignava	137730	0.45000000000000007	6038	8649
Peptoniphilus_A vaginalis	54005	0.36	5419	6920
Corynebacterium pyruviciproducens	598660	0.35	7498	6727
Campylobacter_B ureolyticus_A	827	0.34	4617	6535
Anaerococcus sp900258475	77133	0.33	5878	6343
Peptoniphilus_A harei	54005	0.3	4367	5766
Prevotella timonensis_A	386414	0.28	7085	5382
Urinicoccus massiliensis	1723382	0.27	4461	5190
Anaerococcus lactolyticus	33032	0.27	4427	5190
Pauljensenia radingae_A	1673722	0.27	5217	5190
Peptococcus niger	2741	0.26	4129	4997
Finegoldia magna_F	1260	0.25	3771	4805
Staphylococcus epidermidis	1282	0.24	4335	4613
Actinotignum schaalii_A	59505	0.24	3976	4613
Negativicoccus succinicivorans	620903	0.22	2288	4229
Porphyromonas uenonis	281920	0.21	3739	4036
Prevotella buccalis	28127	0.18	4189	3460
Prevotella sp000479005	28127	0.18	3991	3460
Mobiluncus curtisii	2051	0.17	2948	3268
Fusobacterium vincentii	851	0.16999999999999998	3030	3267
Fenollaria massiliensis	938288	0.16	2077	3075
Peptoniphilus_A lacrimalis	33031	0.14	1993	2691
Peptoniphilus_A grossensis	1465756	0.14	2328	2691
Winkia sp002849225	29318	0.14	2441	2691
Gleimia europaea_B	66228	0.14	2166	2691
Corynebacterium amycolatum_A	43765	0.14	2638	2691
Cutibacterium avidum	33010	0.13	2664	2499
Corynebacterium propinquum	43769	0.13	2586	2499
Ezakiella coagulans	46507	0.12	1713	2307
Prevotella sp900547085	838	0.09	1433	1730
Lawsonella clevelandensis	1528099	0.09	1414	1730
Porphyromonas_A bennonis	501496	0.08	1284	1538
Corynebacterium tuberculostearicum	38304	0.08	1562	1538
Actinobaculum massiliense	202789	0.07	1112	1345
Corynebacterium tuberculostearicum_C	38304	0.07	1351	1345
Dialister invisus	218538	0.07	1062	1345
Peptoniphilus_A lacydonensis	1673725	0.06	892	1153
Urinicoccus timonensis	2024205	0.06	985	1153
Anaerococcus vaginimassiliensis	2042308	0.06	830	1153
Porphyromonas_A somerae	322095	0.06	1197	1153
Aerococcus urinae_B	1376	0.05	781	961
Peptoniphilus_C pacaensis	1776390	0.05	794	961
Anaerococcus provencensis	938293	0.05	851	961
Gleimia urinae	1689268	0.05	755	961
Corynebacterium_u_s	1716	0.05	1052	961
Dolosigranulum pigrum	29394	0.04	521	769
Staphylococcus haemolyticus	1283	0.04	633	769
Trueperella bernardiae	59561	0.04	605	769
Dermabacter hominis	36740	0.04	751	769
Anaerococcus vaginalis_C	77133	0.03	430	577
Ralstonia pickettii_B	329	0.03	1005	577
Cutibacterium acnes	1747	0.03	614	577
Corynebacterium accolens	38284	0.03	599	577
Corynebacterium aurimucosum_F	169292	0.03	639	577
Slackia exigua	84109	0.03	521	577
Porphyromonas asaccharolytica	28123	0.02	291	384
Bradyrhizobium sp003020075	2057741	0.02	930	384
Corynebacterium mucifaciens	57171	0.02	398	384
Agathobacter faecis	301302	0.01	298	192
Anaerococcus hydrogenalis	33029	0.01	117	192
Anaerococcus senegalensis	1288120	0.01	141	192
Helcococcus sueciensis	241555	0.01	161	192
Corynebacterium glucuronolyticum	39791	0.01	258	192
Veillonella_u_s	29465	0.01	242	192
