Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StauST398-5	1308897	1034.61	21.78	0.022549	0.134633	23
Staphylococcus phage StauST398-4	1308896	717.4	15.101999999999999	0.125806	0.095975	362
Staphylococcus phage Ipla5	1197952	612.06	12.885	0.058736	0.112178	1086
Staphylococcus phage PH15	399185	603.01	12.693999999999999	0.046801	0.129545	669
Staphylococcus phage Ipla7	1197953	421.33	8.870000000000001	0.03635	0.114838	415
Staphylococcus phage StB20	1147043	302.69	6.372	0.020585	0.039724	600
Staphylococcus phage CNPH82	398839	296.67	6.245	0.03059	0.091495	427
Propionibacterium phage P105	1229788	273.22	5.752	0.038166	0.048079	134
Staphylococcus phage StB27	1147044	241.54	5.085	0.031572	0.034747	870
Human immunodeficiency virus 1	11676	104.37	2.197	0.02451	0.02451	54
Staphylococcus phage StB12	1147042	101.11	2.129	0.014764	0.019475	420
Propionibacterium phage ATCC29399B_C	1229794	42.21	0.889	0.011794	0.010132	19
