Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GENE cap 1491 Branch		-	13211.53	5.519	0.675549	0.675549	925
Staphylococcus aureus GENE cap 1570 Branch		-	10266.29	4.289	0.568465	0.568465	544
Staphylococcus aureus GENE cap 1575 Branch		-	10228.11	4.273	0.617764	0.617764	1966
Staphylococcus aureus GENE cap 1548 Branch		-	9078.61	3.7929999999999997	0.517139	0.517139	807
Staphylococcus aureus GENE sdr 1604 Branch		-	8707.17	3.637	0.418782	0.400749	690
Staphylococcus aureus GENE cap 1506 Branch		-	8288.36	3.4619999999999997	0.521242	0.521242	757
Staphylococcus aureus GENE cap 1543 Branch		-	8263.53	3.4520000000000004	0.587413	0.581301	323
Staphylococcus aureus GeneID SAS0115		-	8153.24	3.406	0.78733	0.78733	1365
Staphylococcus aureus GI 33390919		-	7804.74	3.26	0.964824	0.944805	583
Staphylococcus aureus GI 33390966		-	7616.08	3.182	0.748588	0.748588	1085
Staphylococcus aureus GI 33390965		-	7584.23	3.168	0.778603	0.778603	1636
Staphylococcus aureus GENE cap 1461 Branch		-	7517.29	3.1399999999999997	0.486772	0.486772	604
Staphylococcus aureus GeneID SAS0122		-	6787.82	2.836	0.852321	0.852321	569
Staphylococcus aureus GENE fnb 1642 Branch		-	6408.46	2.677	0.422018	0.422018	211
Staphylococcus aureus GeneID SAS0119		-	6210.83	2.595	0.58871	0.58871	1670
Staphylococcus aureus GeneID SAS0117		-	5699.45	2.3810000000000002	0.571429	0.571429	1169
Staphylococcus aureus GeneID SAS0121		-	5673.13	2.37	0.612476	0.612476	1057
Staphylococcus aureus GeneID SASa0649		-	5582.99	2.332	0.734864	0.734864	722
Staphylococcus aureus GeneID SASa0115		-	5276.63	2.204	0.713936	0.713936	603
Staphylococcus aureus GeneID SASa0647		-	4929.5	2.059	0.595694	0.595694	706
Staphylococcus aureus GeneID SASa2550		-	4922.5	2.056	0.518926	0.518926	1339
Staphylococcus aureus GeneID SAS0111		-	4727.41	1.975	0.543767	0.543767	683
Staphylococcus aureus GI 33390939		-	4534.06	1.894	1	1	66
Staphylococcus aureus GENE cap 1564 Branch		-	4514.03	1.886	0.753846	0.59434	113
Staphylococcus aureus GeneID SASa0648		-	4390.45	1.8339999999999999	0.667377	0.667377	449
Staphylococcus aureus GeneID SASa0122		-	4026.18	1.6820000000000002	0.530612	0.530612	481
Staphylococcus aureus GENE esxB		-	3812.93	1.593	0.586614	0.586614	299
Staphylococcus aureus GENE blaZ		-	3789.52	1.583	0.539957	0.539957	483
Staphylococcus aureus GeneID SASa0118		-	3669.6	1.533	0.401062	0.401062	983
Staphylococcus aureus GENE cap 1665 Branch		-	3632.61	1.518	0.476852	0.462656	365
Staphylococcus aureus GENE cap 1631 Branch		-	3612.31	1.509	0.521739	0.433645	205
Staphylococcus aureus GENE ic 1660 Branch		-	3493.29	1.459	0.509434	0.512057	79
Staphylococcus aureus GI 33390964		-	3465.72	1.448	0.40404	0.40404	350
Staphylococcus aureus GENE cap 1469 Branch		-	3397.16	1.419	0.417094	0.417094	674
Staphylococcus aureus GI 33390974		-	3337.96	1.394	0.653543	0.653543	117
Staphylococcus aureus GeneID SASa0120		-	3241.44	1.354	0.416352	0.416352	739
Staphylococcus aureus G 1466 Branch		-	3088.29	1.29	0.457143	0.457143	55
Staphylococcus aureus GeneID SASa2284		-	3009.27	1.257	0.497738	0.497738	291
Staphylococcus aureus GeneID SAS1730		-	2870.26	1.199	0.566038	0.566038	126
Staphylococcus aureus GeneID SAS1014		-	2851.52	1.191	0.508571	0.508571	206
Staphylococcus aureus GI 33390960		-	2701.82	1.129	0.519824	0.519824	138
Staphylococcus aureus GENE traM		-	2455	1.026	0.425	0.425	167
Staphylococcus aureus GENE scn		-	2426.29	1.014	0.502513	0.502513	100
Staphylococcus aureus GENE artA		-	2117.32	0.885	0.552239	0.552239	37
Proteus mirabilis GENE tnpA		-	2003.54	0.8370000000000001	0.7	0.7	14
