Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium acnes	1747	362158.37	34.842	8831
Propionibacterium sp. 5_U_42AFAA	450748	361005.48	34.732	41339
Staphylococcus epidermidis	1282	114938.53	11.058	7552
Cutibacterium granulosum	33011	44774.87	4.308	358920
Peptoniphilus rhinitidis	1175452	35148.38	3.382	700038
Micrococcus luteus	1270	14737.14	1.418	120952
Staphylococcus aureus	1280	13479.87	1.2970000000000002	10104
Staphylococcus sp. JGI 0001002-I23	1157683	6464.02	0.622	2356
Cutibacterium avidum	33010	6444.12	0.62	6143
Anaerococcus provencensis	938293	6395.64	0.615	129834
Corynebacterium sp. KPL1824	1203561	5019.79	0.483	6196
Corynebacterium accolens	38284	4452.13	0.428	8013
Negativicoccus succinicivorans	620903	4334.34	0.41700000000000004	31373
Staphylococcus capitis	29388	3935.6	0.379	17368
Jonquetella anthropi	428712	2781	0.268	673
Jonquetella sp. BV3C21	1111126	2673.76	0.257	657
Nesterenkonia massiliensis	1232429	2565.98	0.247	56446
Finegoldia magna	1260	2542.05	0.245	29040
Tissierellia bacterium S5-A11	1230730	2309.28	0.22200000000000003	21222
Campylobacter ureolyticus	827	2277.44	0.219	15739
Acinetobacter haemolyticus	29430	2196.16	0.211	2897
Clostridioides difficile	1496	2173.01	0.209	5231
Corynebacterium tuscaniense	302449	2119.48	0.20400000000000001	44037
Acinetobacter_u_s	469	1754.14	0.169	1448
Corynebacterium pseudogenitalium	38303	1615.34	0.155	10832
Peptoniphilus harei	54005	1595.97	0.154	15462
Corynebacterium tuberculostearicum	38304	1594.63	0.153	9064
Prevotella buccalis	28127	1250.11	0.12	19252
Propionimicrobium sp. BV2F7	1111131	1193.98	0.11499999999999999	2927
Facklamia hominis	178214	1120.22	0.108	5290
Streptococcus mutans	1309	1115.43	0.107	62
Propionibacterium_u_s	1743	1083.5	0.104	1401
Pseudoglutamicibacter albus	98671	966.55	0.093	19628
Ochrobactrum rhizosphaerae	571254	873.32	0.084	19822
Facklamia ignava	137730	724.78	0.06999999999999999	9504
Propionimicrobium lymphophilum	33012	714.1	0.06899999999999999	2482
Actinomyces sp. S4-C9	1219581	714.47	0.06899999999999999	11310
Corynebacterium jeikeium	38289	669.99	0.064	7311
Staphylococcus hominis	1290	569.26	0.055	103
Corynebacterium aurimucosum	169292	563.46	0.054	13312
Prevotella timonensis	386414	548.72	0.053	5467
Kocuria palustris	71999	509.54	0.049	20091
Porphyromonas bennonis	501496	488.69	0.047	7539
Prevotella disiens	28130	470.85	0.045	1459
Staphylococcus haemolyticus	1283	453.73	0.044000000000000004	2186
Lactobacillus crispatus	47770	451.05	0.043	33
Porphyromonas_u_s	836	447.46	0.043	13
Corynebacterium massiliense	441501	440.82	0.042	8748
Lactobacillus gasseri	1596	437.47	0.042	415
Gardnerella vaginalis	2702	429.55	0.041	194
Brevibacterium ravenspurgense	479117	416.75	0.04	9289
Corynebacterium kroppenstedtii	161879	406.05	0.039	8940
Peptoniphilus grossensis	1465756	409.39	0.039	8039
Helcococcus_u_s	31983	400.27	0.039	30
Haematobacter massiliensis	195105	400.69	0.039	8861
Prevotella sp. BV3P1	1111130	314.73	0.03	420
Actinomyces europaeus	66228	301.55	0.029	4553
Streptococcus sp. HSISS3	1316412	301.3	0.029	450
Lactobacillus_u_s	1578	278.17	0.027	1022
Streptococcus agalactiae	1311	279.15	0.027	162
Microbacterium sp. KROCY2	1305732	269.39	0.026	1139
Corynebacterium imitans	156978	274.24	0.026	6297
Anaerococcus prevotii	33034	273.83	0.026	3822
Actinomyces viscosus	1656	261.04	0.025	2413
Varibaculum cambriense	184870	256.08	0.025	3822
Fenollaria massiliensis	938288	222.25	0.021	3083
Kocuria_u_s	57493	209.62	0.02	2725
Brachybacterium paraconglomeratum	173362	209.4	0.02	4186
Anaerococcus vaginalis	33037	210.91	0.02	2577
Actinomyces turicensis	131111	195.44	0.019	4222
Scardovia wiggsiae	230143	196.61	0.019	2821
[Propionibacterium] namnetense	1574624	187.49	0.018000000000000002	5665
Anaerococcus obesiensis	1287640	182.11	0.018000000000000002	4054
Corynebacterium urealyticum	43771	177.43	0.017	1328
Corynebacterium minutissimum	38301	175.3	0.017	3795
