Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus capitis QN1	1189311	17627.26	69.814	11834
Staphylococcus epidermidis NIHLM039	979209	1973.44	7.815999999999999	148
Micrococcus luteus	1270	1949.21	7.720000000000001	1546
Staphylococcus lugdunensis HKU09-01	698737	1420.62	5.6259999999999994	157
Staphylococcus aureus	1280	594.21	2.3529999999999998	467
Corynebacterium tuberculostearicum SK141	553206	416.32	1.649	1982
Corynebacterium pseudogenitalium ATCC 33035	525264	406.15	1.609	2201
Aerococcus viridans ATCC 11563 = CCUG 4311	655812	185.97	0.737	1891
Staphylococcus_u_t	1279	179.01	0.709	407
Acinetobacter_u_t	469	164.16	0.65	8
Pseudomonas sp. 1-7_u_t	633150	145	0.5740000000000001	2749
Propionibacteriaceae_u_t	31957	105.84	0.41900000000000004	215
Aeromonas_u_t	642	81.69	0.32399999999999995	16
