Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium dentium	1689	73.55	8238815	7576771
Lactobacillus gasseri	1596	25.670000000000005	1967207	2644401
Allobacillus halotolerans	570278	0.35	37677	36055
Imtechella halotolerans	1165090	0.33	43761	33995
Winkia sp002849225	29318	0.02	2381	2060
Varibaculum massiliense	1852372	0.01	476	1030
Varibaculum cambriense	184870	0.01	688	1030
Actinobaculum massiliense	202789	0.01	529	1030
Enterococcus faecalis	1351	0.01	582	1030
Prevotella timonensis	386414	0.01	1171	1030
Prevotella timonensis_A	386414	0.01	901	1030
Prevotella disiens	28130	0.01	688	1030
Finegoldia magna_H	1260	0.01	476	1030
Bradyrhizobium sp003020075	2057741	0.01	3688	1030
Bradyrhizobium_u_s	374	0.01	2484	1030
