Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	85.14999999999999	5162149	5396111
Mycoplasmatales	2085	6.63	218941	420155
Tissierellales	1737405	1.81	143218	114701
Staphylococcales	1385	1.7100000000000002	172516	108366
Lachnospirales	186802	1.1900000000000002	171852	75413
Bacteroidales	171549	0.75	128195	47531
Oscillospirales	186802	0.5700000000000001	71099	36120
Actinomycetales	2037	0.5	50106	31686
Mycobacteriales	85010	0.4	44084	25349
Bacillales_D	1385	0.36	39564	22814
Flavobacteriales	200644	0.33	44487	20913
Coriobacteriales	84999	0.32999999999999996	35135	20910
Rhizobiales	356	0.09	34100	5704
Verrucomicrobiales	48461	0.05	6765	3169
Desulfovibrionales	213115	0.03	4012	1901
Erysipelotrichales	526525	0.02	2833	1268
Veillonellales	1843489	0.02	860	1267
Eubacteriales	186802	0.01	1935	634
Monoglobales	186802	0.01	1529	634
Peptostreptococcales	186802	0.01	682	634
UBA1381	186801	0.01	1803	634
Burkholderiales	80840	0.01	745	634
Campylobacterales	213849	0.01	573	634
