Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetaceae	2049	22.6	712306	783609
Streptococcaceae	1300	17.95	479434	622380
Propionibacteriaceae	31957	16.630000000000003	504268	576612
Aerococcaceae	186827	15.73	479747	545406
Enterobacteriaceae	543	8.47	584291	293680
Flavobacteriaceae	49546	4.97	229277	172325
Alkalibacillaceae	186817	4.59	172411	159148
Bifidobacteriaceae	31953	3.29	117038	114074
Peptoniphilaceae	1570339	2.2699999999999996	61801	78705
Bacteroidaceae	815	1.3	59696	45075
Lactobacillaceae	33958	1.28	33948	44381
Porphyromonadaceae	171551	0.35	11867	12136
Campylobacteraceae	72294	0.31	7620	10749
Mycobacteriaceae	1762	0.14	5159	4855
Burkholderiaceae_B	80864	0.04	3666	1387
Staphylococcaceae	90964	0.02	862	693
Xanthobacteraceae	335928	0.02	1773	693
Brevibacteriaceae	85019	0.01	335	347
Burkholderiaceae	119060	0.01	815	347
Rhizobiaceae	82115	0.01	647	347
Dialisteraceae	31977	0.01	120	347
Negativicoccaceae	31977	0.01	216	347
