Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE ermC		-	10754.15	8.099	1	1	1410
Enterococcus faecium GENE ermB		-	8916.72	6.715	0.974359	0.974359	1072
Staphylococcus aureus GI 33390919		-	8316.76	6.263000000000001	0.668342	0.785714	652
Bacteroides fragilis GENE rteA		-	7718.9	5.813	0.879867	0.879867	1718
Staphylococcus lentus GENE repL		-	7612.67	5.733	0.888889	0.888889	635
Enterococcus faecium GI 21886747		-	6679.1	5.029999999999999	0.814815	0.814815	136
Bacteroides fragilis GENE tetQ		-	6575.98	4.952	0.833803	0.833803	1085
Staphylococcus aureus GI 33390945		-	4659.85	3.5090000000000003	1	1	81
Enterococcus faecium GI 21886745		-	4655.17	3.5060000000000002	1	0.778135	34
Enterococcus faecalis GENE tetL		-	4329.74	3.261	0.692708	0.780488	244
Klebsiella pneumoniae GENE tnpA		-	4029.62	3.0349999999999997	0.620853	0.620853	278
Enterococcus faecalis GI 48190		-	3971.56	2.991	0.48336	0.48336	794
Staphylococcus aureus GENE blaZ		-	3963.26	2.9850000000000003	0.604752	0.604752	421
Enterococcus faecium GENE tetL		-	3935.62	2.964	0.781818	0.86911	47
Bacteroides fragilis GENE rteB		-	3640.03	2.741	0.528634	0.528634	449
Staphylococcus aureus GENE blaR1		-	3616.23	2.723	0.478163	0.478163	799
Bacteroides fragilis GI 46242807		-	3612.27	2.7199999999999998	0.543611	0.543611	430
Pseudomonas aeruginosa GENE intI1		-	3526.45	2.656	0.88	0.88	44
Enterococcus faecalis GENE mobB		-	3511.24	2.644	0.520906	0.520906	474
Vibrio cholerae GENE intI1		-	3442.73	2.593	1	1	24
Enterococcus hirae GENE ermB		-	3437.18	2.588	1	1	15
Proteus mirabilis GENE tnpA		-	3218.88	2.424	1	1	20
Staphylococcus aureus GENE AACA-APHD		-	3071.95	2.313	0.501761	0.501761	336
Bacteroides fragilis GI 46242809		-	2805.29	2.113	0.586777	0.586777	90
Enterococcus faecalis GeneID EF0954		-	2659.27	2.003	0.445545	0.445545	257
Escherichia coli GENE aphA7		-	2578.43	1.942	0.41875	0.41875	246
Bacteroides fragilis GI 46242808		-	2465.21	1.857	0.422222	0.422222	140
Staphylococcus aureus GI 33390975		-	1957.11	1.474	0.494118	0.494118	42
Pseudomonas putida GENE qacEdelta1		-	1808.24	1.362	1	1	6
Staphylococcus lentus GI 60416748		-	1318.34	0.993	0.5	0.5	12
