Class	Abundance Score	Relative Abundance	Unique Matches Frequency
Macrolide-Lincosamine-Streptogramin B	1687960.2100000002	58.00000000000001	7741
Tetracyclines	477799.73	16.418	36454
Aminoglycoside	477720.5800000001	16.415999999999997	58641
Class A beta-lactamases	69856	2.4	37799
Polimixin_Colistin	61706.25	2.121	15303
Phenicol	32451.14	1.115	6517
Fusidic Acid	26312.75	0.9039999999999999	9565
Sulfonamides_Trimethoprim	19244.65	0.661	2511
Ppseudomonic Acid	18697.94	0.642	179
Fosfomycin	18332.97	0.63	2224
Sulfa drugs	17774.33	0.611	3556
Quinolones and fluoroquinolones	2375.11	0.082	241
