Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillaceae	33958	70.72999999999999	1274435	1342525
Flavobacteriaceae	49546	12.14	283918	230429
Alkalibacillaceae	186817	11.56	220152	219420
Mycobacteriaceae	1762	2.51	46427	47643
Staphylococcaceae	90964	0.88	15388	16704
Propionibacteriaceae	31957	0.35	6356	6643
Aerococcaceae	186827	0.32999999999999996	4525	6264
Peptoniphilaceae	1570339	0.32	4222	6075
Burkholderiaceae	119060	0.22999999999999998	8168	4366
Burkholderiaceae_B	80864	0.17	8751	3227
Xanthobacteraceae	335928	0.17	9410	3227
Micrococcaceae	1268	0.12	3020	2278
Actinomycetaceae	2049	0.11	1869	2088
Veillonellaceae	31977	0.09	1379	1708
Pseudomonadaceae	135621	0.06	2684	1139
Xanthomonadaceae	32033	0.05	1747	949
Beijerinckiaceae	45404	0.05	2115	949
Bacteroidaceae	815	0.04	935	759
Rhizobiaceae	82115	0.04	1640	759
Thermaceae	188786	0.03	659	569
Negativicoccaceae	31977	0.02	153	380
Atopobiaceae	1643824	0.01	145	190
