Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium acnes	1747	1260602.06	50.208	16911
Propionibacterium sp. MB3007	1410615	1223391.5	48.726	1199
Staphylococcus epidermidis	1282	12353.26	0.492	3197
Staphylococcus capitis	29388	6289.76	0.251	3580
Corynebacterium sp. KPL1856	1203563	3338.33	0.133	15
Cutibacterium granulosum	33011	2289.26	0.091	6075
Micrococcus luteus	1270	751.05	0.03	691
[Propionibacterium] namnetense	1574624	553.04	0.022000000000000002	12183
Dermacoccus sp. Ellin185	188626	374.58	0.015	5094
Staphylococcus warneri	1292	248.09	0.01	8
Dermacoccus nishinomiyaensis	1274	147.36	0.006	2087
Rothia mucilaginosa	43675	100.88	0.004	662
Acinetobacter calcoaceticus/baumannii complex	909768	92.39	0.004	56
[Propionibacterium] humerusii	1050843	78.48	0.003	6
Propionibacteriaceae_u_s	31957	77.51	0.003	29
Caulobacter sp. JGI 0001013-D04	1157680	77.99	0.003	1414
