Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	124712.37	40.358	0.728643	0.824675	14298
Staphylococcus aureus GENE sdr 1604 Branch		-	16093.48	5.208	0.69797	0.735955	1013
Staphylococcus aureus GI 33390920		-	15127.63	4.8950000000000005	0.936306	0.936306	1335
Staphylococcus aureus GENE thyA		-	10308.05	3.3360000000000003	0.946565	0.946565	1937
Staphylococcus aureus GENE dfrA		-	9610.23	3.11	0.815451	0.815451	1068
Staphylococcus aureus GENE cap 1506 Branch		-	8689.23	2.812	0.625817	0.625817	746
Staphylococcus aureus GENE cap 1491 Branch		-	8230.65	2.664	0.594044	0.594044	693
Staphylococcus aureus GENE cap 1575 Branch		-	6447.65	2.0869999999999997	0.580838	0.580838	988
Staphylococcus aureus GENE cap 1461 Branch		-	6350.21	2.0549999999999997	0.469136	0.469136	449
Staphylococcus aureus GeneID SAS0121		-	6293.33	2.037	0.763705	0.763705	958
Staphylococcus aureus GENE 1587 Branch		-	6275.22	2.031	0.611111	0.611111	11
Staphylococcus aureus GeneID SASa0122		-	5724.43	1.8519999999999999	0.758017	0.758017	593
Staphylococcus aureus GeneID SAS0115		-	5705.76	1.846	0.733032	0.733032	729
Staphylococcus aureus GENE hys 1511 Branch		-	5366.34	1.737	0.603774	0.603774	102
Streptococcus agalactiae GENE cylE		-	5302.6	1.7160000000000002	0.657667	0.657667	1172
Staphylococcus aureus G 1466 Branch		-	4947.47	1.601	0.614286	0.614286	83
Staphylococcus aureus GeneID SAS0119		-	4861.96	1.5730000000000002	0.647849	0.647849	838
Staphylococcus aureus GeneID SAS0117		-	4486.34	1.452	0.654917	0.654917	541
Staphylococcus aureus GeneID SASa0118		-	4433.11	1.435	0.584329	0.584329	820
Staphylococcus aureus GeneID SASa0648		-	4213.45	1.3639999999999999	0.61194	0.61194	494
Staphylococcus lentus GENE repL		-	4164.74	1.348	0.472222	0.472222	433
Staphylococcus aureus GENE aur		-	4126.57	1.335	0.584693	0.584693	683
Streptococcus agalactiae GENE cfb		-	4041.84	1.308	0.66759	0.66759	303
Streptococcus agalactiae GENE neuD		-	3969.03	1.284	0.625	0.625	322
Staphylococcus aureus GeneID SASa0114		-	3498.07	1.1320000000000001	0.550336	0.550336	360
Staphylococcus aureus GENE cap 1543 Branch		-	3219.73	1.042	0.552448	0.522358	202
Staphylococcus aureus GeneID SASa2550		-	3187.18	1.031	0.461538	0.461538	574
Staphylococcus aureus GeneID SAS1013		-	3078.52	0.996	0.529268	0.529268	252
Streptococcus pyogenes GENE scpA		-	2923.3	0.946	0.42764	0.432817	513
Staphylococcus epidermidis GeneID SEA1545		-	2838.84	0.919	0.513514	0.513514	168
Staphylococcus aureus GENE ica 1623 Branch		-	2598.18	0.8410000000000001	0.5	0.5	4
Staphylococcus aureus GeneID SASa1133		-	2412.6	0.781	0.414966	0.414966	237
Staphylococcus aureus GeneID SAS0122		-	2175.63	0.7040000000000001	0.42616	0.42616	124
Streptococcus agalactiae GENE cpsF		-	1835.44	0.594	0.408537	0.408537	71
Staphylococcus aureus GENE esxA		-	1763.83	0.571	0.402516	0.402516	64
