Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	32449.9	3.2449901226606173
PF00528	Binding-protein-dependent transport system inner membrane component	13437.1	1.3437100507922362
PF00664	ABC transporter transmembrane region	7098.34	0.7098340268317241
PF02687	FtsX-like permease family	5370.32	0.5370320202998089
PF00128	Alpha amylase, catalytic domain	5113.9	0.5113900193305413
PF00072	Response regulator receiver domain	5081.61	0.508161019208485
PF07690	Major Facilitator Superfamily	5008.45	0.5008450189319402
PF01381	Helix-turn-helix	4775.26	0.4775260180504821
PF00155	Aminotransferase class I and II	4109.48	0.4109480155338338
PF00156	Phosphoribosyl transferase domain	3796.16	0.3796160143494843
PF07992	Pyridine nucleotide-disulphide oxidoreductase	3681.4	0.36814001391569146
PF00356	Bacterial regulatory proteins, lacI family	3668.24	0.36682401386594665
PF00440	Bacterial regulatory proteins, tetR family	3437.81	0.3437810129949213
PF00293	NUDIX domain	3382.61	0.33826101278626536
PF00271	Helicase conserved C-terminal domain	3231.33	0.3231330122144269
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3200.72	0.32007201209872116
PF07751	Abi-like protein	3058.48	0.30584801156105396
PF02361	Cobalt transport protein	2887.26	0.2887260109138424
PF13416	Bacterial extracellular solute-binding protein	2879.62	0.2879620108849632
PF00872	Transposase, Mutator family	2879.43	0.287943010884245
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	2837.84	0.2837840107270348
PF04055	Radical SAM superfamily	2822.78	0.28227801067010805
PF00300	Histidine phosphatase superfamily (branch 1)	2711.96	0.27119601025120843
PF08245	Mur ligase middle domain	2706.89	0.27068901023204384
PF00905	Penicillin binding protein transpeptidase domain	2706.37	0.2706370102300782
PF01926	50S ribosome-binding GTPase	2630.56	0.2630560099435164
PF00069	Protein kinase domain	2616.69	0.2616690098910878
PF00009	Elongation factor Tu GTP binding domain	2527.39	0.25273900955353384
PF07508	Recombinase	2510.14	0.25101400948832886
PF01546	Peptidase family M20/M25/M40	2507.62	0.2507620094788032
PF00892	EamA-like transporter family	2499.42	0.24994200944780726
PF04203	Sortase domain	2464.07	0.24640700931418427
PF00486	Transcriptional regulatory protein, C terminal	2403.85	0.24038500908655264
PF00665	Integrase core domain	2397.35	0.23973500906198267
PF00294	pfkB family carbohydrate kinase	2391.59	0.2391590090402099
PF00535	Glycosyl transferase family 2	2344.91	0.23449100886375945
PF01479	S4 domain	2337	0.23370000883385966
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	2307.28	0.23072800872151808
PF00270	DEAD/DEAH box helicase	2305.79	0.23057900871588585
PF00239	Resolvase, N terminal domain	2225.04	0.22250400841065088
PF00004	ATPase family associated with various cellular activities (AAA)	2208.66	0.22086600834873446
PF00082	Subtilase family	2195.22	0.21952200829793125
PF07687	Peptidase dimerisation domain	2193.79	0.21937900829252588
PF00392	Bacterial regulatory proteins, gntR family	2181.57	0.2181570082463343
PF08264	Anticodon-binding domain of tRNA	2164.7	0.21647000818256568
PF02875	Mur ligase family, glutamate ligase domain	2062.86	0.20628600779761053
PF04545	Sigma-70, region 4	2058.64	0.20586400778165886
PF05949	Bacterial protein of unknown function (DUF881)	2026.43	0.2026430076599051
PF03144	Elongation factor Tu domain 2	2011.97	0.2011970076052463
PF04542	Sigma-70 region 2	1982.04	0.19820400749211092
PF00196	Bacterial regulatory proteins, luxR family	1970.1	0.1970100074469777
PF00117	Glutamine amidotransferase class-I	1951.49	0.1951490073766319
PF00571	CBS domain	1946.46	0.19464600735761853
PF01751	Toprim domain	1943.02	0.1943020073446153
PF01979	Amidohydrolase family	1867.44	0.18674400705892294
PF03466	LysR substrate binding domain	1863.42	0.18634200704372733
PF01555	DNA methylase	1841.66	0.18416600696147453
PF01966	HD domain	1828.95	0.18289500691343075
PF00696	Amino acid kinase family	1799.2	0.17992000680097575
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit	1798.73	0.17987300679919915
PF00501	AMP-binding enzyme	1796.82	0.17968200679197935
PF00588	SpoU rRNA Methylase family	1794.23	0.17942300678218914
PF03051	Peptidase C1-like family	1785.52	0.17855200674926536
PF13408	Recombinase zinc beta ribbon domain	1784.93	0.17849300674703514
PF12848	ABC transporter	1759	0.17590000664901975
PF00145	C-5 cytosine-specific DNA methylase	1757.24	0.17572400664236695
PF09479	Listeria-Bacteroides repeat domain (List_Bact_rpt)	1751.13	0.17511300661927115
PF00881	Nitroreductase family	1744.38	0.17443800659375616
PF03793	PASTA domain	1734.58	0.17345800655671215
PF00986	DNA gyrase B subunit, carboxyl terminus	1727.78	0.17277800653100814
PF00327	Ribosomal protein L30p/L7e	1703.29	0.17032900643843596
