Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus capitis	29388	124531.1	72.499	130146
Staphylococcus epidermidis	1282	18635.09	10.849	69
Corynebacterium pseudogenitalium	38303	6526.24	3.7990000000000004	72800
Corynebacterium tuberculostearicum	38304	6313.63	3.676	57632
Cutibacterium acnes	1747	2494.95	1.452	25
Propionibacterium sp. 5_U_42AFAA	450748	2469.58	1.438	34
Brochothrix thermosphacta	2756	1517.72	0.8840000000000001	26603
Staphylococcus sp. TE8	1472720	1187.53	0.6910000000000001	2799
Actinomyces naeslundii	1655	924.4	0.538	16230
Veillonella parvula	29466	460.59	0.268	476
Leuconostoc carnosum	1252	386.37	0.22499999999999998	2776
Veillonella sp. 3_1_44	457416	383.79	0.22300000000000003	302
Actinomyces massiliensis	461393	365.35	0.213	2836
Lautropia mirabilis	47671	356.84	0.208	7726
Actinomyces oris	544580	344.65	0.201	3752
Actinomyces viscosus	1656	329.5	0.192	2611
Morococcus cerebrosus	1056807	312.05	0.182	1696
Prevotella_u_s	838	284.36	0.166	372
Corynebacterium matruchotii	43768	268.19	0.156	3244
Actinomyces dentalis	272548	250.57	0.146	4822
Streptococcus_u_s	1301	238.02	0.13899999999999998	609
Actinomyces sp. oral taxon 448	712124	232.07	0.135	4593
Corynebacterium sp. KPL1818	1203559	211.78	0.123	835
Rothia dentocariosa	2047	198.46	0.116	1269
Corynebacterium kroppenstedtii	161879	184.15	0.107	4239
Micrococcus luteus	1270	170.32	0.099	30
Rothia aeria	172042	168.15	0.098	635
Staphylococcus hominis	1290	167.28	0.097	47
Staphylococcus_u_s	1279	143.82	0.084	1398
Selenomonas noxia	135083	137.23	0.08	1121
Capnocytophaga_u_s	1016	130.98	0.076	844
Neisseria flavescens	484	126.53	0.074	1107
Corynebacterium accolens	38284	117.38	0.068	190
Actinomyces gerencseriae	52769	115.21	0.067	1873
Neisseria elongata	495	114.03	0.066	2141
Abiotrophia defectiva	46125	111.85	0.065	1987
Neisseria sicca	490	109.73	0.064	23
Neisseria_u_s	482	98.89	0.058	106
Capnocytophaga gingivalis	1017	100.32	0.058	1955
Pseudopropionibacterium propionicum	1750	95.45	0.055999999999999994	2328
Tannerella sp. oral taxon HOT-286	712710	96.7	0.055999999999999994	83
Neisseria sp. oral taxon 014	641148	93.53	0.054	1942
Corynebacterium durum	61592	91.14	0.053	2333
Capnocytophaga sputigena	1019	89.19	0.052	1710
Actinomyces odontolyticus	1660	85.58	0.05	523
