Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus	1301	34.14	108597	128743
Lactobacillus	1578	28.15	81040	106154
Allobacillus	1400133	11.97	47105	45139
Imtechella	1165076	11.39	55071	42952
Escherichia	561	2.56	18471	9654
Staphylococcus	1279	2.49	8953	9389
Enterococcus	1350	2.08	8572	7844
Bradyrhizobium	374	1.9400000000000002	24025	7317
Bifidobacterium	1678	0.71	2869	2677
Cutibacterium	1912216	0.7	2713	2640
Blautia_A	572511	0.56	3381	2111
Actinobaculum	76833	0.44	1393	1659
Comamonas	283	0.38	3992	1433
Finegoldia	150022	0.34	973	1282
Winkia	2692118	0.27	943	1018
Actinotignum	1653174	0.22999999999999998	716	867
Varibaculum	184869	0.21	727	792
Ralstonia	48736	0.2	1489	754
Facklamia	66831	0.16	449	603
Longicatena	1918536	0.14	670	528
Veillonella	29465	0.14	453	528
Agrobacterium	357	0.1	757	377
Methylobacterium	407	0.1	876	377
Lachnospira	28050	0.09	381	339
Anaerobutyricum	2569097	0.07	398	264
Peptoniphilus_A	162289	0.07	185	264
Corynebacterium	1716	0.06	262	226
Phascolarctobacterium	33024	0.06	206	226
Ruminiclostridium_E	216572	0.05	237	189
Thomasclavelia	1505663	0.04	201	151
Dysosmobacter	2591381	0.04	207	151
CAG-41	2039302	0.04	201	151
Adlercreutzia	447020	0.04	170	151
Phyllobacterium	28100	0.03	258	113
Afipia	1033	0.02	161	75
