Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus	1279	92415.09999999999	65.29100000000001	296705
Cutibacterium	1912216	15020.439999999999	10.612	2196
Propionibacterium	1743	13791	9.743	83
Corynebacterium	1716	8844.96	6.2490000000000006	82359
Micrococcus	1269	5746.12	4.06	7311
Streptococcus	1301	1163.65	0.823	4934
Microbacterium	33882	667	0.471	3197
Anaerococcus	165779	662.14	0.468	6965
Kocuria	57493	617.81	0.436	2660
Raoultella	160674	318.9	0.22499999999999998	288
Acinetobacter	469	302.93	0.21399999999999997	755
Dolosigranulum	29393	282.85	0.2	4352
Dietzia	37914	272.27	0.192	46
Rothia	32207	230.39	0.163	1651
Klebsiella	570	220.2	0.156	307
Nesterenkonia	57494	171.14	0.121	3847
Neisseriaceae_u_g	481	152.17	0.108	34
Facklamia	66831	146.58	0.104	2079
Brachybacterium	43668	139.71	0.099	2949
Caulobacter	75	107.44	0.076	1896
Bordetella	517	103.16	0.073	176
Serratia	613	88.67	0.063	15
Actinomyces	1654	79.28	0.055999999999999994	538
